업종,업소명,주요품목,가격,연락처,주소,평점
세탁업,대저기계세탁소,정장한벌,8000원,051-973-5434,부산광역시 강서구 대저로 279 (대저1동),0
한식_일반,배부른밥집,정식,6000원,051-338-3222,부산광역시 북구 의성로112번길62,0
한식_면류,시골칼국수,칼국수,5000원,051-000-0000,부산광역시 북구 금곡대로185-10 1층 4호,4.5
한식_분식,깡통골목할매 유부전골 본점,유부전골,6000원,512471878,부산광역시  부산 중구 부평3길 29 (부평동1가),3
한식_일반,두래박,수제돈가스,9000원,051-611-3651,부산광역시 남구 부산광역시 남구 유엔평화로 133(용당동),5
한식_일반,똑순이네뚝배기(똑뚜기),순두부찌개,8000원,051-626-0272,"부산광역시 남구 부산광역시 남구 146번길 65, 1층(용호동)",0
중식,금화루,짜장면,3000원,051-623-5544,부산광역시 남구 부산광역시 남구 동명로152번길 93(용호동),0
한식_일반,한우어때,짜장면,4000원,010-0000-0000,"부산광역시 사하구 사하로 157, 1층(괴정동, 삼풍아파트)",별점 없음
중식,첸,짜장면,4000원,051-291-8726,부산광역시 사하구 장림시장5길 203(장림동),5
기타서비스업,대육자동차정비,자동차배터리(80L),96000원,051-506-5554,부산광역시 동래구 석사로 33(사직동),5
기타양식,깜빠뉴베이커리,단팥빵,700원,051-506-0637,부산광역시 동래구 여고북로 163 (온천동),4
한식_일반,영일삼계탕,한방삼계탕,13000원,051-507-6622,부산광역시 동래구 사직로 64 (사직동),5
이미용업,김민서 헤어포스,남자커트,10000원,051-896-4189,부산광역시 부산진구 개금본동로17번길 32(개금동),0
이미용업,육일미용실,커트,5000원,051-972-0465,부산광역시 강서구 낙동북로 59 (강동동),0
이미용업,골드헤어라인,커트,8000원,051-831-1255,부산광역시 강서구 신호산단4로64번길 23 (신호동),0
이미용업,가위소리미용실,컷트,6000원,051-316-2247,부산광역시 사상구 광장로97번길 66-4,0
한식_면류,일이삼 칼국수,국수,5000원,051-304-8086,부산광역시 사상구 사상로277번길 55,5
기타양식,구름다리6-7,아메리카노,1900원,0507-1367-2310,부산광역시 수영구 과정로 6-7(망미2동),5
기타양식,메이크씨(MAKESEA),아메리카노,1500원,051-728-1469,부산광역시 기장군 일광읍 일광로 754,별점 없음
