업종,업소명,주요품목,가격,연락처,주소,평점
목욕업,개나리휴사우나,목욕(대인),5000원,043-882-3337,충청북도 음성군 대소면 대금로 410-5,0.0
이미용업,수냐미용실,커트(학생),7000원,043-422-1558,충청북도 단양군 충북 단양군 매포읍 평동 3로 10,0.0
한식_일반,맛집소백산,도토리묵밥,8000원,043-423-0687,충청북도 단양군 충북 단양군 단양읍 상진2길 55,4.1
한식_면류,금주네가야밀면,물밀면,7000원,043-851-6553,충청북도 충주시 충주시 행정10길 15(목행동),5.0
한식_일반,백세보리밥(시니어클럽),보리밥,6500원,043-855-7402,충청북도 충주시 충주시 으뜸로 9(금릉동),0.0
중식,대동관,자장면,4000원,043-214-0020,충청북도 청주시 청원구 내수읍 내수로 731-2,2.5
이미용업,헤이븐헤어,커트,12000원,043-250-4583,충청북도 청주시 청원구 중앙로 181(내덕동),0.0
한식_일반,바우골,염소탕,17000원,043-256-2392,"충청북도 청주시 상당구 상당로143번길 34-2, 1층(북문로3가)",5.0
한식_육류,시골생고기본점,생삼겹살(200g),12000원,043-294-0018,"충청북도 청주시 상당구 용암북로94번길 20-1, 1층(용암동)",4.6
한식_일반,풍년고을,청국장,7000원,043-225-2088,충청북도 청주시 상당구 상당로131번길 7-15(북문로2가),0.0
한식_일반,미소국밥,바지락순두부,7000원,043-223-8848,충청북도 청주시 상당구 상당로 135(북문로2가),0.0
기타서비스업,YES컴퓨터,출장비,10000원,043-878-4655,충청북도 음성군 감곡면 장감로 119,5.0
한식_면류,수산칼국수,칼국수,5000원,043-855-6513,충청북도 충주시 봉방4길 5(봉방동),5.0
중식,쉐농,짜장면,4500원,043-872-1918,충청북도 음성군 음성읍 음성로 406,5.0
한식_일반,담소,두부전골,10000원,043-833-4561,충청북도 괴산군 불정면 목도로4길 5-1,4.8
한식_일반,강은네,청국장,7000원,043-833-7507,충청북도 괴산군 불정면 목도로 48,0.0
한식_일반,원기정,추어탕,9000원,043-832-9911,충청북도 괴산군 불정면 목도로4길 3,4.5
한식_일반,병천순대(청천점),순대만국밥,7500원,043-832-4948,충청북도 괴산군 청천면 괴산로 1350,4.5
한식_일반,친구네,모듬생선구이,10000원,043-833-7978,충청북도 괴산군 칠성면 도정로3길 9,5.0
숙박업,놀러와펜션,2인실(주중),65000원,010-6579-3464,충청북도 괴산군 칠성면 칠성로7길 85,5.0
한식_일반,멍석집,올갱이해장국,9000원,043-832-3636,충청북도 괴산군 칠성면 괴강로 516,5.0
한식_일반,남촌식당,오삼불고기(大),35000원,043-832-3018,충청북도 괴산군 괴산읍 읍내로19길 6,0.0
이미용업,사랑이용원,커트,10000원,043-843-4624,충청북도 충주시 연원5길 59(연수동),5.0
한식_면류,주혜옹심이칼국수,메밀칼국수,7000원,043-843-2077,충청북도 충주시 동수9길 6(연수동),5.0
한식_분식,이쉐프컵밥,스팸컵밥,4100원,-,"충청북도 청주시 청원구 수암로 98-10, 1층(우암동)",0.0
기타서비스업,카페단우,아메리카노(라지),2500원,070-8880-4279,충청북도 충주시 예성로 180(성내동),0.0
한식_일반,청춘밥상(시니어클럽),한식뷔페,6000원,043-847-7401,충청북도 충주시 예성로 207(교현동),별점 없음
한식_육류,대가,생삼겹살(200g),13000원,0507-1357-9660,"충청북도 청주시 상당구 무심동로372번길 37, 1층(서문동)",3.5
한식_분식,이모네김밥,야채김밥,2500원,043-222-3014,"충청북도 청주시 청원구 중앙로 181, 1층(내덕동)",4.3
한식_육류,행운삼겹살,삼겹살(200g),13000원,043-276-7936,"충청북도 청주시 상당구 남사로89번길 64, 1층(서문동)",5.0
한식_육류,오돈생고기,삼겹살(200g),13000원,0507-1352-9634,"충청북도 청주시 상당구 중고개로125번길 9-2, 1층(용암동)",4.3
한식_일반,오가네옛날국수,수제비,6000원,043-252-5588,충청북도 청주시 상당구 남사로140번길 73-1(남문로1가),5.0
한식_육류,굴림한우정육식당,한우등심(200g),19900원,0507-1370-8814,"충청북도 청주시 상당구 무심동로372번길 44, 1층(서문동)",5.0
한식_일반,온고지신,북어정식,11000원,043-253-9936,충청북도 청주시 상당구 남사로 120-1(남문로2가),5.0
중식,한가네짬뽕,짬뽕,7000원,043-262-0410,"충청북도 청주시 서원구 1순환로672번길 53, 2층(사창동)",4.6
이미용업,박현순헤어,커트,10000원,043-211-7623,"충청북도 청주시 청원구 율봉로159번길 48-20, 1층(율량동)",1.0
한식_일반,고향보리밥,청국장백반,6000원,010-5321-8949,"충청북도 옥천군 옥천읍 삼금로5길 5-14, 205, 206호",5.0
한식_분식,신화당분식,우동,5000원,043-256-5463,충청북도 청주시 상당구 대성로22번길 5-1(석교동),4.0
한식_일반,오!자네왔는가·365곰탕,한우소머리곰탕,10000원,043-223-0365,"충청북도 청주시 상당구 용담로 25-4, 1층(문화동)",4.1
한식_일반,초평농부식당,칼국수,6000원,043-535-2754,충청북도 진천군 초평면 초동로 22,0.0
이미용업,착한헤어,커트,10000원,043,충청북도 제천시 의림대로26길 13-2(청전동),0.0
이미용업,제일미용실,파마,25000원,043-644-5419,충청북도 제천시 내제로15길 22(청전동),0.0
한식_일반,집밥,찌개류,8000원,043-644-1611,충청북도 제천시 내토로28길 7(화산동),0.0
한식_면류,한일제면소,차돌육칼국수,8000원,043,"충청북도 제천시 독순로11길 1, 1층(의림동)",5.0
한식_일반,현금식당,가락국수,5000원,043-645-6668,충청북도 제천시 내토로28길 1(화산동),4.0
한식_일반,엄마손한식당,갈치조림,12000원,043,충청북도 제천시 강저로 220(강제동),5.0
한식_일반,모녀손만두 종합상가점,고기만두,4000원,043-731-1850,충청북도 옥천군 옥천읍 삼금로 45,0.0
한식_기타,카페보노롱,수제차,4000원,010-2381-7148,충청북도 옥천군 옥천읍 향수길 48,5.0
이미용업,헤어테크,커트,10000원,043-533-7337,충청북도 진천군 진천읍 중앙동로 52,0.0
한식_일반,죽의여왕,콩죽,5000원,043-731-7342,"충청북도 옥천군 옥천읍 삼금로5길 5-14 , 207호",5.0
중식,중식당향수,짜장,6000원,043-731-5777,충청북도 옥천군 옥천읍 향수2길 29-14,1.0
한식_기타,은경이네,계란빵,1000원,010-2555-5268,"충청북도 옥천군 옥천읍 삼금로5길 5-14, 옥천공설시장 122호",0.0
한식_일반,정이품식당,돌솥비빔밥,10000원,043-543-3995,충청북도 보은군 속리산면 법주사로 273,2.0
