업종,업소명,주요품목,가격,연락처,주소,keyword,평점
한식_일반,명지해물찜칼국수,바지락탕,10000원,041-662-3938,충청남도 서산시 대산읍 물안2길 6,충청남도 서산시 명지해물찜칼국수,4.6
한식_면류,갈산식당,칼국수,7000원,041-632-1209,"충청남도 홍성군 갈산면 갈산로 115, 105호",충청남도 홍성군 갈산식당,0
이미용업,세븐데이남성커트,커트,9000원,041-568-6808,"충청남도 천안시 서북구 두정로 212, 107호 (두정동)",충청남도 천안시 세븐데이남성커트,별점 없음
한식_분식,윤경이네분식,김밥,2000원,041-555-8898,충청남도 천안시 동남구 버들1길 29(원성동),충청남도 천안시 윤경이네분식,0
한식_일반,우리집한식뷔페,한식뷔페,7000원,010-8222-4952,충청남도 천안시 서북구 입장면 연곡길 166,충청남도 천안시 우리집한식뷔페,0
한식_육류,과수원길,삼겹살(500g),35000원,041-567-8992,충청남도 천안시 서북구 업성1길 7(성성동),충청남도 천안시 과수원길,별점 없음
중식,주공반점,자장면,6000원,041-575-4017,충청남도 천안시 서북구 성정13길18(성정동),충청남도 천안시 주공반점,1
기타양식,타코찡,오리지널타코야키(6알),3500원,041-414-2292,충청남도 천안시 동남구 개목4길 9,충청남도 천안시 타코찡,5
이미용업,비비헤어샵,커트,5000원,041-571-1666,충청남도 천안시 서북구 미라2길 26-1(쌍용동),충청남도 천안시 비비헤어샵,0
기타서비스업,쌍용동사진관,반명함,10000원,041-571-9182,충청남도 천안시 서북구 미라3길27 (쌍용동),충청남도 천안시 쌍용동사진관,5
한식_일반,팔봉산꼼방울가든,백반,8000원,041-664-3078,충청남도 서산시 팔봉면 어송리 353,충청남도 서산시 팔봉산꼼방울가든,5
양식,경양돈가스,돈가스,8000원,041-681-0455,"충청남도 서산시 성연면 성연5로 92-7, 상가동 1층 114호",충청남도 서산시 경양돈가스,3.5
한식_육류,큰손양곱창,곱창구이,18000원,042-522-8868,충청남도 계룡시 충청남도 계룡시 엄사면 전원1길 17-2,충청남도 계룡시 큰손양곱창,4.5
한식_일반,신주공먹거리,삼겹살,14000원,010-4630-6567,충청남도 서산시 석림3로 25,충청남도 서산시 신주공먹거리,0
양식,맛나집밥,된장찌개,8000원,041-666-1221,"충청남도 서산시 서령로 6, 1층",충청남도 서산시 맛나집밥,0
한식_일반,쫄돈,돈가스,8000원,010-9990-1872,"충청남도 아산시 번영로 144-1, 1층(권곡동)",충청남도 아산시 쫄돈,0
이미용업,뉴아산제이컷트샵,커트,5000원,041-533-2377,"충청남도 아산시 온궁로 9-4,1층(온천동)",충청남도 아산시 뉴아산제이컷트샵,0
기타서비스업,새로나찻집,커피,2000원,010-9427-7682,충청남도 서천군 서천읍 군청로 18 봄의마을 2층,충청남도 서천군 새로나찻집,0
중식,서홍관,짜장면(현금),3000원,041-634-9876,충청남도 홍성군 홍성읍 남장중로 63-10,충청남도 홍성군 서홍관,5
