업종,업소명,주요품목,가격,연락처,주소,평점
세탁업,삼일라사세탁소,티셔츠드라이,4000원,053-755-1276,대구광역시 동구 효목로5길 7(효목동),별점 없음
한식_육류,쎈밤 종로점,삼겹살,7900원,070-7685-7137,"대구광역시 중구 종로 30-1, 1층",별점 없음
세탁업,론드리 하우스,양복상하,10000원,053-752-0014,"대구광역시 수성구 대구광역시 수성구 상록로 41, 301동 101호(범어동, 범어태왕아너스 상가)",0.0
이미용업,민지미용실,커트,5000원,053-357-9277,대구광역시 서구 대구광역시 서구 팔달로32길 13(비산동),0.0
한식_일반,풍미식당,동태탕,7000원,053-352-8145,대구광역시 서구 대구광역시 서구 달서로54길 6(원대동),0.0
한식_일반,원대시장횟집,물회,8000원,053-341-7662,대구광역시 서구 대구광역시 서구 달서로54길 7-1(원대동),3.0
한식_일반,시골통닭,찜닭(大),20000원,053-352-3052,대구광역시 서구 대구광역시 서구 고성로15길 13(원대동),0.0
한식_일반,엄마떡볶이,잔치국수,5000원,-,대구광역시 서구 대구광역시 서구 달서로54길 6(원대동),0.0
한식_일반,애플국밥,돼지국밥,6000원,053-244-7127,대구광역시 서구 대구 서구 달서로54길 1-1(원대동),0.0
한식_일반,여보왕갈비,정식,8000원,053-981-0810,대구광역시 서구 대구광역시 서구 달구벌대로375길 28-1(내당동),0.0
이미용업,코코헤어,컷(어린이),10000원,010-4803-6189,"대구광역시 동구 동촌역사로3길 20, 102호(검사동)",0.0
이미용업,미미미용실,컷(어린이),7000원,010-5689-8867,"대구광역시 동구 동촌로346, 백자맨션상가103호(용계동)",0.0
한식_일반,반백년한우,불고기정식,9000원,053-583-8990,대구광역시 달서구 대구광역시 달서구 이곡서로 26 (이곡동),5.0
한식_일반,도시락팜,제육볶음,7000원,053-552-8402,대구광역시 서구 대구광역시 서구 달구벌대로631길 12-1,5.0
한식_육류,대복갈비,잔치국수,4000원,010-4806-2968,대구광역시 달서구 대구광역시 달서구 이곡동로 39 (이곡동),4.2
한식_일반,정시칼국시,정식,6000원,053-582-0177,"대구광역시 달서구 대구광역시 달서구 문화회관3길 43, 1층 (장기동)",별점 없음
한식_일반,박가네,제육덮밥,7500원,053-622-3156,대구광역시 달서구 대구광역시 달서구 학산로 253 (송현동),5.0
한식_육류,쎈밤(두류동),삼겹살(150g),7900원,010-3172-7137,대구광역시 달서구 대구광역시 달서구 달구벌대로344길 15 (두류동),2.5
한식_면류,국시마을,잔치국수,5000원,053-643-3297,대구광역시 달서구 대구광역시 달서구 미리샘길 97 (도원동),5.0
이미용업,석미용실,커트(성인),10000원,053-641-3171,대구광역시 달서구 대구광역시 달서구 한실로 136 (도원동),3.0
한식_육류,쎈밤(장기동),삼겹살(150g),7900원,010-3172-7137,"대구광역시 달서구 대구광역시 달서구 장기로 57길 14, 1층(장기동)",0.0
한식_육류,금강산왕갈비,갈비탕,7000원,053-622-2244,대구광역시 달서구 대구광역시 달서구 당산로 190 (두류동),1.0
이미용업,새리미용실,커트(여성),5000원,053-638-5797,대구광역시 달서구 대구광역시 달서구 도원로 46 (도원동),별점 없음
한식_면류,국수구단,물국수,5500원,053-525-9900,대구광역시 달서구 대구광역시 달서구 구마로 106 (본동),4.7
이미용업,휴미장,커트,10000원,053-591-7996,대구광역시 달성군 다사읍 죽곡1길 16-6,0.0
한식_육류,대복갈비,삼겹살(100g),6600원,010-4806-2968,대구광역시  대구광역시 달서구 이곡동로 39 (이곡동),4.2
한식_일반,새댁식육식당,된장찌개,6000원,053-587-8866,대구광역시 달서구 대구광역시 달서구 문화회관3길 37 (장기동),5.0
한식_분식,와락김밥,돈까스,6500원,053-654-6366,"대구광역시 달서구 달서구 월배로 457, 1층 (송현동)",5.0
한식_일반,우록뜰,청국장정식,10000원,053-766-3363,대구광역시 달성군 가창면 우록길 127,2.0
한식_일반,옹기마을,보리밥정식,8000원,053-611-0085,대구광역시 달성군 현풍읍 현풍로24길 14,5.0
한식_면류,김태희손국수식당,손칼국수,7000원,053-616-0765,대구광역시 달성군 옥포읍 옥포로 597,3.2
한식_면류,송가네 잔칫날 국수전문점,잔치국수,6000원,053-616-8899,대구광역시 달성군 유가읍 비슬로64길 36-4,4.0
한식_일반,정성가득 김밥달인,달인김밥,2500원,053-611-4781,"대구광역시 달성군 유가읍 테크노상업로 84, 101호",5.0
일식,키로키로회포장 배달전문점,물회,12000원,053-202-1212,대구광역시 달성군 다사읍 대실역남로3길 3,별점 없음
한식_일반,다사쭈막,쭈꾸미+공기밥(점심),10000원,053-583-7717,"대구광역시 달성군 다사읍 죽곡1길 13-3, 1층 104호",5.0
한식_일반,다사축산 식육식당,차돌된장뚝배기,7000원,053-586-1030,대구광역시 달성군 다사읍 죽곡1길 6,별점 없음
한식_면류,국시에까스,칼국수,5500원,053-781-5850,대구광역시 수성구 용학로42길 24(지산동),5.0
중식,우당탕반점,짜장면,6000원,053-585-3688,대구광역시 달성군 다사읍 대실역북로5길 46-4,0.0
기타서비스업,지에스(GS)락 볼링장,게임비(학생),3000원,053-586-0925,"대구광역시 달성군 다사읍 달구벌대로 790, 104동 지하1층 2호",1.0
한식_일반,착한면옥,육전비빔밥,9000원,053-587-1388,대구광역시 달성군 다사읍 대실역북로2길 187,3.0
한식_면류,옛날국수집,칼국수,5500원,053-617-1555,대구광역시 달성군 논공읍 금포로 17,3.0
한식_육류,맛있는이오갈비,이오갈비(국내산150g),6900원,053-326-6222,대구광역시 북구 관음중앙로111 (관음동),2.3
이미용업,목원헤어,커트(남성),12000원,053-941-0010,대구광역시 북구 서변로9길6 (서변동),0.0
이미용업,박영숙헤어,커트,12000원,053-381-0501,대구광역시 북구 동북로서37길16 (산격동),0.0
한식_육류,소복한닭곰탕,통닭(후라이드),15000원,053-955-9346,대구광역시 북구 대동로1길35 (산격동),5.0
중식,칠성루,탕수육(국내산200g),12000원,053-218-7474,대구광역시 북구 칠성로88 (칠성동2가),3.3
한식_일반,진미능이버섯골,삼겹살(국내산100g),6000원,053-353-5178,대구광역시 북구 원대로21길6(노원동1가),0.0
한식_면류,전원식당,칼국수,6000원,053-744-1479,"대구광역시 수성구 만촌로 89, 대구창신교육관 A동 1층(만촌동)",0.0
한식_일반,엄마손칼국수,된장찌개,7000원,053-553-8588,대구광역시 달서구 달서구 용산로14길 6(장기동),4.8
한식_일반,행복맛집,삼겹살(100g),6600원,053-651-9233,대구광역시 달서구 달서구 와룡로10길 57 (본동 777-5),4.5
이미용업,민머리방,파마,25000원,053-625-4026,대구광역시 달서구 달서구 야외음악당로53길 64(두류동101-10),0.0
한식_육류,늘봄숯불,돼지갈비(국산200g),12000원,053-355-4521,대구광역시 북구 오봉로1길 51 (노원동2가 289-1),5.0
한식_육류,공산숯불갈비,왕갈비(국내산)200g,12000원,053-983-9233,대구광역시 동구 파계로22길 40(지묘동),3.5
한식_일반,가원식당,능이오리백숙,76000원,053-814-0640,대구광역시 동구 팔공산로199길 6-3(용수동),4.3
한식_면류,만보칼국수,칼국수,6000원,053-982-7524,대구광역시 동구 팔공로209길 15(백안동),0.0
한식_육류,마장동낭만대패,대패삼겹살(100g),4300원,010-2624-5330,대구광역시 북구 팔거천동로 24길 7-1(동천동),0.0
한식_육류,별미춘천닭갈비,닭갈비(800g),10000원,053-323-2818,대구광역시 북구 동암로38길 29-31(구암동),0.0
한식_면류,예손가손칼국수,바지락칼국수+공기밥,8000원,053-354-9090,대구광역시 북구 옥산로 62(고성동3가),3.1
기타서비스업,카페체크,아메리카노,1000원,053-710-4998,대구광역시 달서구 달서구 와룡로 231(죽전동),5.0
목욕업,태흥목욕탕,성인 목욕료,6000원,053-559-4300,대구광역시 달서구 달서구 와룡로 233(죽전동),5.0
이미용업,꽃길헤어,파마,25000원,010-6376-4102,대구광역시 달서구 달서구 성지로14길 20(용산동 440-2),0.0
한식_일반,보영이네 시골밥상,한정식,7000원,053-252-6633,대구광역시 달서구 달서구 성지로14안길 14 (용산동),0.0
기타서비스업,페이쓰커피,아메리카노,1200원,053-592-1320,"대구광역시 달서구 달서구 성서서로69길 66-6, 1층(신당동)",0.0
이미용업,은이헤어샵,커트,6000원,053-585-2785,대구광역시 달서구 달서구 성서서로69길 68(신당동),0.0
한식_면류,영래칼국수,칼국수,6000원,053-653-7933,대구광역시 달서구 달서구 대명천로 58(성당동),4.2
한식_면류,두류칼국수,잔치국수,5000원,053-622-3313,대구광역시 달서구 달서구 당산동길 15(성당동),0.0
한식_기타,행복한 해물찜,아구찜,32000원,053-634-6012,대구광역시 달서구 달서구 상화로 213(상인동),0.0
세탁업,클링클링세탁소,정장1벌,4500원,053-634-7771,대구광역시 달서구 달서구 월곡로145(상인동),0.0
한식_일반,도람자반고등어,정식,7000원,053-522-6565,대구광역시 달서구 달서구 와룡로9길 8 (본동),별점 없음
한식_육류,신광식육식당,돼지국밥,5000원,053-624-9275,대구광역시 달서구 달서구 야외음악당로47길 105(두류동),별점 없음
한식_일반,국수데이,국수,5500원,053-642-8305,"대구광역시 달서구 달서구 조암남로32길 22, 다동 지상1층 (대천동)",4.0
한식_일반,옥방맛집,칼국수,6000원,053-583-8807,대구광역시 달서구 달서구 성지로16길 35(용산동 455-9),1.0
일식,도심속바닷가식당,회덮밥,7000원,053-962-5444,대구광역시 동구 화랑로 508(용계동),4.2
중식,서태후,자장면,5000원,053-635-3553,대구광역시 달서구 달서구 진천로8길 7(진천동 490-11),5.0
중식,공화루,자장면,6000원,053-625-9715,대구광역시 달서구 달서구 학산로251(송현동139-19),3.7
일식,청구회&해물,초밥,9000원,053-628-3758,대구광역시 달서구 달서구 학산로190(송현동 500-18),5.0
한식_분식,뽀끼뽀끼분식이야기,떡볶이,3000원,053-632-4747,대구광역시 달서구 달서구 월배로24길 20(진천동 248-24),5.0
한식_일반,다복칼국수,칼국수,6000원,053-853-9198,대구광역시 달서구 달서구 와룡로10길 68(본동 800),5.0
이미용업,미지미용실,커트,8000원,053-637-1625,"대구광역시 달서구 달서구 상인서로85,상가동2층(상인동 1514)",5.0
한식_일반,새하얀식당,동태찌개,8000원,010-7550-2883,대구광역시 달서구 달서구 달구벌대로330길 19(감삼동114-2),0.0
한식_일반,호야식당,정식,6000원,053-565-3738,대구광역시 달서구 달서구 달구벌대로330길 43(감삼동 113-32),0.0
한식_일반,삼천식당,제육볶음,3000원,053-585-2789,대구광역시 달서구 달서구 신당로 23(신당동 1814-11),5.0
한식_일반,합천명품토종흑돼지촌,김치찌개,7000원,053-587-3744,대구광역시 달서구 달서구 선원로10(신당동1697-6),3.0
중식,영동중화요리,간짜장,5000원,053-962-6999,대구광역시 동구 방촌로15길 3(검사동),4.0
이미용업,작은미용실,커트,8000원,010-2685-3193,대구광역시 서구 통학로48길 28-2,0.0
이미용업,박현주미용실,커트(성인),15000원,054-383-6777,대구광역시 군위군 군위읍 중앙4길 16-6,0.0
이미용업,장근희헤어,커트(성인),15000원,054-383-6832,대구광역시 군위군 군위읍 중앙길 141,0.0
이미용업,우아미미용실,커트(성인),15000원,054-382-5158,대구광역시 군위군 군위읍 중앙길 112-2,0.0
한식_일반,자연산민물시래기매운탕,메기매운탕(소),25000원,054-382-1911,대구광역시 군위군 효령면 효우로 83,3.0
한식_일반,백운면,간장불고기,4000원,053-561-6509,대구광역시 서구 국채보상로52길 13,3.5
이미용업,샤플헤어샵,커트(남),10000원,010-7160-0955,대구광역시 서구 달서천로53길 29,0.0
한식_일반,해동손칼국수,손칼국수,5000원,053-353-5490,대구광역시 서구 달서로25길 53-1,0.0
한식_일반,우리끼리밥상,김치찌개,7000원,053-521-1101,대구광역시 서구 달구벌대로361길 6-7,0.0
한식_일반,엄마밥상과 뒷고기,정식세트,7500원,053-764-1213,대구광역시 수성구 들안로 163-1(중동),5.0
한식_면류,맛있는손칼국수수제비,칼국수,7000원,053-753-6465,대구광역시 수성구 범어로20길 92(범어동),4.5
한식_일반,미소축산 시지점,"삼겹살, 목살 100g",1984원,053-793-0911,대구광역시 수성구 신매로 84(신매동),5.0
한식_일반,계명숯불갈비,한정식,6000원,053-586-6288,대구광역시 달서구 달서구 호산동로35길 15(호산동 380-11),5.0
한식_기타,와룡돈까스,돈까스,6500원,053-585-3303,대구광역시 달서구 달서구 선원로14길 21(신당동 1761-16),5.0
기타서비스업,그레이스,"스킨케어 (얼굴,전신/80분)",60000원,010-2615-0970,대구광역시 수성구 달구벌대로652길 69-5(욱수동),0.0
한식_면류,참한손 고향맛집,칼국수,7000원,053-767-5511,대구광역시 수성구 청수로4길 22(중동),0.0
한식_일반,이모콩나물밥,콩나물비빔밥,4000원,053-793-3232,대구광역시 수성구 달구벌대로650길 16(신매동),5.0
목욕업,신광탕,"일반대중탕(남,여)",5000원,053-782-0126,대구광역시 수성구 용학로30길 56(지산동),5.0
한식_면류,밀밭손수제비,칼국수,5500원,053-781-9677,대구광역시 수성구 지범로27길 86(지산동),0.0
한식_일반,신산홍,양념닭목살(130g),9000원,053-944-5650,"대구광역시 동구 아양로7길 12, 가상가동 지하1층 108호 (신암동, 신암뜨란채)",4.0
기타양식,미소띤하루,소보로빵,1500원,053-965-9794,"대구광역시 동구 이노밸리로 168, 103호(각산동, 안심빌딩)",4.1
세탁업,태왕세탁소,코트드라이,6000원,053-751-1121,"대구광역시 동구 동북로 500, 603동 115호(효목동, 태왕메트로시티)",0.0
한식_일반,행복식당,행복정식,7000원,053-581-1805,대구광역시 달서구 달서구 성서로72길 113(이곡동 1000-275),0.0
한식_일반,일미식당,돼지볶음,8000원,053-555-1213,대구광역시 달서구 달서구 달구벌대로307길 22(죽전동 270-2),5.0
한식_일반,해바라기식당,청국장,7000원,053-586-2767,대구광역시 달서구 달서구 서당로 53(신당동 1731-3),4.7
한식_일반,반할서문손만두,군만두,4500원,053-527-1190,대구광역시 달서구 달서구 달구벌대로 1338(이곡동 1000-156),3.9
한식_일반,맛깔정,닭곰탕,6500원,053-523-8808,대구광역시 달서구 달서구 신당로 22(신당동 1842-2),5.0
한식_일반,집밥이 땡긴다,참치찌개,7000원,053-585-5577,대구광역시 달서구 달서구 호산동로 178(호산동 360-9),5.0
한식_일반,생생맛정식,불고기정식,7500원,053-588-3626,대구광역시 달서구 달서구 호산동로35북길 46(호산동 352-15),4.0
한식_일반,청도시골밥상,우렁이쌈밥,9000원,053-566-1298,대구광역시 달서구 달서구 달구벌대로291길 49(장기동 46-4),5.0
양식,바사카다,등심돈까스,6500원,053-201-2462,"대구광역시 달서구 달서구 월곡로 273, 2층(상인동 1397-1)",3.0
한식_한정식,어통가,고등어구이정식,9000원,053-525-9295,대구광역시 달서구 달서구 와룡로 17-1(본동 1093),0.0
한식_일반,고갱이,쌀떡볶이,5000원,053-633-3987,"대구광역시 달서구 달서구 진천로8길 43, 103호(진천동 255-14)",5.0
한식_일반,토담골,된장찌개,6500원,053-638-6009,대구광역시 달서구 달서구 상원로 83-5(상인동 1441),0.0
한식_일반,웰빙순두부,수제순두부찌개,9000원,053-637-8989,대구광역시 달서구 달서구 상인로 74(상인동 1550-5),0.0
한식_면류,국시랑손수제비,잔치국수,5000원,010-2322-3363,대구광역시 달서구 달서구 서당로12길 6(신당동 1782),5.0
중식,짬뽕집,짜장면,5000원,010-3545-2476,대구광역시 수성구 용학로33길 24(지산동),3.1
한식_면류,김밥면맛나분식,김밥,2500원,053-611-5420,"대구광역시 달성군 유가읍 테크노상업로 120, 134호",별점 없음
한식_면류,유가국수,김밥,2500원,053-288-8400,"대구광역시 달성군 유가읍 테크노중앙대로 240, 107호",0.0
이미용업,짚시헤어라인,컷트,6000원,010-9113-0491,대구광역시 북구 침산로 255 (침산3동 645-19),0.0
중식,삼익반점,짜장면,5000원,053-356-1817,대구광역시 북구 침산로 256 (침산3동 642),2.0
한식_일반,장터돼지국밥,돼지국밥,8000원,053-794-7889,대구광역시 수성구 신매로16길 26(신매동),0.0
한식_일반,천사돼지국밥,돼지국밥,8000원,053-217-5474,대구광역시 수성구 신매로16길 31(신매동),5.0
한식_한정식,금풍국수,칼국수,6000원,053-792-8289,대구광역시 수성구 신매로 88(신매동),5.0
한식_찌개류,일조엄마손,된장찌개,7000원,053-793-0607,대구광역시 수성구 신매로16길 72(신매동),0.0
한식_일반,장수삼계탕,삼계탕,15000원,053-784-0090,대구광역시 수성구 범안로16길 40(범물동),4.8
한식_기타,맛보리밥상,정식,8000원,053-784-9883,대구광역시 수성구 용학로 246(지산동),5.0
이미용업,힐링헤어,성인여자컷,13000원,053-781-7272,대구광역시 수성구 용학로44길 35(지산동),0.0
한식_일반,청도식당,칼국수,7000원,053-751-7972,대구광역시 수성구 상록로 65(범어동),3.0
중식,산동성,짜장면,5000원,053-784-0830,대구광역시 수성구 지범로27길 79(지산동),4.1
한식_기타,풍기삼계탕,닭계장,8000원,053-761-1398,대구광역시 수성구 들안로 58(두산동),4.3
한식_일반,부산식당,칼국수,7000원,053-765-5619,"대구광역시 수성구 파동로 120, 14동 상가 부산식당 (파동, 우방대자연맨션1차아파트)",0.0
한식_일반,의성식당,돼지국밥,7000원,053-761-8113,"대구광역시 수성구 파동로 120, 14동 상가 의성식당 (파동, 우방대자연맨션1차아파트)",5.0
한식_일반,밀밭식당,추어탕,7000원,053-765-3992,"대구광역시 수성구 파동로 120, 14동 상가 밀밭식당 (파동, 우방대자연맨션1차아파트)",4.5
기타양식,커피딜라이트,아메리카노,2900원,070-7717-7171,"대구광역시 수성구 파동로 120, 14동 상가 커피딜라이트 (파동, 우방대자연맨션1차아파트)",0.0
