업종,업소명,주요품목,가격,연락처,주소,keyword,평점
중식,강셰프리취8로마,해물쟁반짜장,6000원,042-223-7878,대전광역시 중구 대전광역시 중구 중교로 91-15 (은행동),대전광역시 중구 강셰프리취8로마,5
이미용업,뉴스타 헤어컬,"커트(남, 성인)",10000원,042-544-5234,"대전광역시 유성구 유성구 은구비서로 35, 1층",대전광역시 유성구 뉴스타 헤어컬,0
이미용업,뷰티헤어샵,커트(남),5000원,042-586-0858,"대전광역시 중구 대전광역시 중구 대둔산로386번길 15-5 (산성동, 1층)",대전광역시 중구 뷰티헤어샵,5
한식_일반,국수3900,멸치국수,4500원,042-221-4428,"대전광역시 중구 대전광역시 중구 선화서로 6, 1층 (대흥동)",대전광역시 중구 국수3900,별점 없음
기타양식,카페랑 공방이랑,"와플(사과, 딸기)",2900원,0507-1373-1847,"대전광역시 유성구 유성대로694번길 68, 101호",대전광역시 유성구 카페랑 공방이랑,0
한식_일반,장수촌,보리밥,6000원,042-583-0885,"대전광역시 중구 대전광역시 중구 당디로 4, 1층 (산성동)",대전광역시 중구 장수촌,0
한식_면류,잘임스국수앤덮밥,멸치국수(곱빼기동일),5000원,042-536-4782,"대전광역시 중구 대전광역시 중구 계백로 1715, 1동 1층 107호(오류동)",대전광역시 중구 잘임스국수앤덮밥,5
한식_면류,최고집잔치국수,김밥,2500원,042-222-8909,"대전광역시 중구 대전광역시 중구 대종로529번길 57, 1층 (선화동)",대전광역시 중구 최고집잔치국수,3.5
한식_일반,제일식당,잔치국수,4000원,042-222-0976,"대전광역시 중구 대전광역시 중구 선화로 118, 1층(선화동, 금환빌딩)",대전광역시 중구 제일식당,4.8
이미용업,모델헤어숍,커트(학생),5000원,042-285-2107,대전광역시 중구 대전광역시 중구 대종로 237 (석교동),대전광역시 중구 모델헤어숍,0
기타양식,똑똑한만두찐빵,꽈배기(3개),1000원,042-523-6271,대전광역시 중구 대전광역시 중구 평촌로105번길 52-2 (태평동),대전광역시 중구 똑똑한만두찐빵,4.5
중식,홍보장,짜장면,5000원,042-254-8759,대전광역시 중구 대전광역시 중구 목중로 18 (중촌동),대전광역시 중구 홍보장,3.3
한식_면류,궁중칼국수,칼국수,7000원,042-471-5566,대전광역시 서구 월평서로6번길 61,대전광역시 서구 궁중칼국수,4.5
한식_면류,또바기칼국수,칼국수,6000원,0507-1438-0060,"대전광역시 중구 대전광역시 중구 중앙로121번길 16, 2층 (선화동)",대전광역시 중구 또바기칼국수,3
한식_일반,황토콩나라,콩나물국밥,5500원,042-222-7222,"대전광역시 중구 대전광역시 중구 대종로517번길 49, 1층 (선화동)",대전광역시 중구 황토콩나라,5
한식_면류,고현면옥,냉면(숯불고기포함),8000원,042-586-1203,"대전광역시 중구 대전광역시 중구 보문산로 100, 1층 (산성동)",대전광역시 중구 고현면옥,3
한식_일반,장수촌,보리밥,6000원,042-583-0885,"대전광역시  대전광역시 중구 당디로 4, 1층 (산성동)",대전광역시  장수촌,4.5
기타양식,카페 크로곰,아메리카노,2000원,042-226-4704,"대전광역시 중구 대전광역시 중구 중교로 45, 1층(대흥동)",대전광역시 중구 카페 크로곰,0
한식_일반,사랑골보리밥식당,보리밥,7000원,042-284-8753,대전광역시 동구 동구 동부로 86(판암동),대전광역시 동구 사랑골보리밥식당,0
기타양식,원두집,아메리카노,2000원,010-2126-0502,"대전광역시 서구 구봉산북로21번길 12, 1층",대전광역시 서구 원두집,5
한식_일반,옛날토종순대,순대국밥,6500원,010-2428-1134,대전광역시 서구 도안동로31번길 19-21,대전광역시 서구 옛날토종순대,4.5
한식_육류,불돈생돈,삼겹살,12000원,042-483-8829,대전광역시 서구 만년남로11번길 51,대전광역시 서구 불돈생돈,0
한식_일반,그린하우스,백반,7000원,010-9555-7171,대전광역시 서구 만년로18번길 35,대전광역시 서구 그린하우스,5
한식_육류,월평맛고을,삼겹살,13000원,042-487-2220,대전광역시 서구 월평서로6번길 72,대전광역시 서구 월평맛고을,0
기타양식,카페하나1982,커피,2500원,010-8426-7582,"대전광역시 서구 복수남로 36번길 22, 102호",대전광역시 서구 카페하나1982,0
한식_육류,황토방숯불갈비,삼겹살,12000원,010-9547-5542,"대전광역시 서구 괴정로 27, 1층",대전광역시 서구 황토방숯불갈비,5
기타양식,카페시원,아메리카노,20000원,042-488-1425,"대전광역시 서구 동서대로 1019-1, 1층",대전광역시 서구 카페시원,5
이미용업,오늘헤어,커트,7000원,010-2508-6523,"대전광역시 서구 갈마로295번길 9, 1층",대전광역시 서구 오늘헤어,5
한식_육류,소꿉노리,흑돼지삼겹살(200g),8400원,042-484-1002,"대전광역시 서구 도솔로 317, 1층",대전광역시 서구 소꿉노리,0
한식_일반,니캉내캉,잔치국수,5500원,042-472-4000,"대전광역시 서구 둔산남로 127, 목련아파트 상가 102호 (304동 앞)",대전광역시 서구 니캉내캉,3.7
한식_일반,마성소국밥 족발,한우소국밥,8000원,0507-1377-9993,"대전광역시 서구 둔산중로 54, 105 ~ 106호",대전광역시 서구 마성소국밥 족발,2.8
한식_일반,요산요수,삼겹살,12000원,042-531-3311,대전광역시 서구 도산로369번길 17,대전광역시 서구 요산요수,4
한식_일반,칠갑산식당,삼겹살,13000원,042-524-2681,대전광역시 서구 변동로 100,대전광역시 서구 칠갑산식당,5
한식_일반,유가네파육개장,삼계탕,13000원,042-532-3288,"대전광역시 서구 변동로 96, 1층",대전광역시 서구 유가네파육개장,0
이미용업,채숙자미용실,커트,10000원,010-5006-3804,대전광역시 서구 도마2길 30,대전광역시 서구 채숙자미용실,0
한식_면류,맛있는칼국수,칼국수,6000원,010-6477-0588,대전광역시 서구 도마2길 43,대전광역시 서구 맛있는칼국수,5
한식_일반,강청골순대국밥,순대국밥,8000원,042-635-8181,대전광역시 동구 동대전로229(가양동),대전광역시 동구 강청골순대국밥,3.2
이미용업,최은영헤어,커트,11000원,010-5405-3230,"대전광역시 서구 복수동로 52번길 43, 1층",대전광역시 서구 최은영헤어,5
이미용업,세이헤어샵,커트(여자),10000원,042-635-6399,대전광역시 대덕구 대전광역시 대덕구 대전로1078번길 39(오정동),대전광역시 대덕구 세이헤어샵,5
이미용업,솔솔헤어,커트(여자),10000원,042-622-4892,대전광역시 대덕구 대전광역시 대덕구 중리남로8번길 125(중리동),대전광역시 대덕구 솔솔헤어,0
한식_일반,옥수네숯불닭갈비,숯불양념닭갈비,12000원,0507-1356-8550,대전광역시 대덕구 대전광역시 대덕구 송촌북로5번길 10-15(중리동),대전광역시 대덕구 옥수네숯불닭갈비,5
한식_일반,꼬끼오바베큐치킨,바베큐치킨,18000원,042-933-8584,대전광역시 대덕구 대전광역시 대덕구 신탄진북로32번길 7-10(신탄진동),대전광역시 대덕구 꼬끼오바베큐치킨,0
한식_일반,나들목식당,황태탕,7000원,042-623-7000,대전광역시 대덕구 대전광역시 대덕구 신탄진로 211(신대동),대전광역시 대덕구 나들목식당,4.3
한식_일반,산천,삼계탕,13000원,042-623-1907,대전광역시 동구 동산초교로23번길 41-7,대전광역시 동구 산천,0
한식_일반,경성화로,삼겹살(200g),8666원,042-632-1087,대전광역시 동구 동서대로1748번길 152(가양동),대전광역시 동구 경성화로,4.5
기타양식,우리동네착한커피,아메리카노,3000원,042-221-4767,대전광역시 동구 대전로 835(중동),대전광역시 동구 우리동네착한커피,5
세탁업,운동화목욕한날,운동화빨래,5000원,042-271-7444,"대전광역시 동구 용운로170가동, 102호",대전광역시 동구 운동화목욕한날,0
기타양식,마을회관,아메리카노,3000원,010-9940-3915,대전광역시 동구 중앙로203번길 36(중동),대전광역시 동구 마을회관,0
한식_면류,외갓집 얼큰이 칼국수,칼국수,5500원,042-824-8942,대전광역시 유성구 학하서로121번길 45-8(덕명동),대전광역시 유성구 외갓집 얼큰이 칼국수,3
기타서비스업,동양전자,마이크,10000원,042-1533-3090,대전광역시 동구 대전로797번길 11(중동),대전광역시 동구 동양전자,0
한식_일반,종가집밥상,백반,5000원,042-221-5054,대전광역시 중구 대흥로 97(대흥동),대전광역시 중구 종가집밥상,0
한식_면류,껌뻑밀면,물밀면,7500원,042-256-9295,대전광역시 중구 중앙로13번길18(용두동),대전광역시 중구 껌뻑밀면,4.4
이미용업,헤어나라,커트(남),5000원,.,대전광역시 중구 문화로 90(산성동),대전광역시 중구 헤어나라,0
한식_일반,신정통춘천닭갈비,닭갈비,12000원,042-471-0908,"대전광역시 중구 계룡로874번길 27-10, 1층(오류동)",대전광역시 중구 신정통춘천닭갈비,4.8
이미용업,송강이용원,이용료(70세이상),10000원,042-935-7254,대전광역시 유성구 구즉로58번길 10(송강동),대전광역시 유성구 송강이용원,0
기타서비스업,노글라스 안경원,팩렌즈(아큐브오아시스_30P),32900원,042-863-0079,"대전광역시 유성구 유성대로 1756, 1층(전민동)",대전광역시 유성구 노글라스 안경원,5
중식,홍화반점,짜장면,5000원,0507-1486-1065,"대전광역시 유성구 원신흥로100번길 27-5, 1층(원신흥동)",대전광역시 유성구 홍화반점,4.3
