업종,업소명,주요품목,가격,연락처,주소,평점
기타서비스업,청 판다,클렌징주스,3800원,010-2914-2231,"강원특별자치도 화천군 화천읍 상승로 60-6, 1층",0.0
한식_기타,양양회포장,모둠회(소),39000원,01042361735,강원특별자치도 양양군 강원특별자치도 양양군 양양읍 남문7길 7-4,4.2
이미용업,은조헤어샵,커트(어르신),8000원,0507-1339-3560,강원특별자치도 원주시 반곡길 46,0.0
한식_일반,푸줏간정육식당,삼겹살(300g),16000원,033-345-0899,강원특별자치도 횡성군 강원특별자치도 횡성읍 화성로 24,0.0
한식_일반,강림산초두부,두부전골,8000원,033-342-3392,강원특별자치도 횡성군 강원특별자치도 강림면 주천강로 1132,5.0
한식_일반,집밥먹으러가자,김치찌개,8000원,033-344-1691,"강원특별자치도 횡성군 강원특별자치도 횡성군 문정로 17번길 17, 1층",별점 없음
한식_분식,지우네떢볶이,떢볶이,2000원,010-4743-3419,강원특별자치도 횡성군 강원특별자치도 횡성군 횡성읍 북천로 12,별점 없음
한식_기타,희정빵집,찐빵(3개),2000원,033-343-5155,강원특별자치도 횡성군 강원특별자치도 횡성읍 읍상서로7번길 8,5.0
한식_일반,최고집해물촌,갈치조림,9000원,033-343-8053,강원특별자치도 횡성군 강원특별자치도 횡성군 우천면 수남로 350,0.0
한식_일반,나영식당,청국장,7000원,033-345-4461,강원특별자치도 횡성군 강원특별자치도 횡성군 횡성읍 삼일로 59-1,4.5
한식_일반,맘찬,반찬 3팩,9900원,010-4801-7311,"강원특별자치도 화천군 화천읍 중앙로4길 11, 나동 11호",0.0
한식_일반,엄마맛집,한식뷔페,8000원,033-441-5070,강원특별자치도 화천군 화천읍 산수화로 87,0.0
한식_일반,롯데자율식당,한식뷔페,5000원,0507-1395-5955,강원특별자치도 춘천시 강원 춘천시 공지로 387 지하층,3.0
이미용업,박설매 헤어,커트,10000원,010-4696-3783,강원특별자치도 춘천시 서부대성로 126-1 1층,0.0
한식_육류,냉돈,냉동삼겹살,10000원,033-253-5538,"강원특별자치도 춘천시 행촌로 58, 1층",4.7
한식_면류,금옥,막국수,8000원,033-241-1791,강원특별자치도 춘천시 동면 금옥길289-27,0.0
한식_일반,밥보네집,제육볶음저식,6000원,033-255-2123,강원특별자치도 춘천시 서부대성로 239번길 4,0.0
중식,가향,짜장면,5000원,033-574-8547,강원특별자치도 삼척시 청석로 79-10,4.2
한식_육류,수미갈비,돼지갈비,14900원,033-574-7800,강원특별자치도 삼척시 정상로 61,3.7
이미용업,강남미용실,커트,8000원,033 641-5620,강원특별자치도 강릉시 강릉시 토성로 92,0.0
기타서비스업,뒷드루쉼터,아메리카노,3000원,070-4045-3878,강원특별자치도 동해시 오일장길 10,0.0
한식_일반,원고기마트 식육식당,한우 소불고기 1인분,10000원,033-531-7770,강원특별자치도 동해시 동해대로 5466,5.0
한식_일반,경남보리밥,뷔페,6000원,033-533-6317,강원특별자치도 동해시 해안로 511,4.8
한식_일반,시골,보리밥,6500원,033-521-0163,강원특별자치도 동해시 지양길 9,3.0
한식_일반,단골식당,만두국,7000원,033-562-5759,강원특별자치도 정선군 정선읍 5일장길 33-23,0.0
기타양식,달콤한게으름,아메리카노,4000원,0507-1359-7877,강원특별자치도 춘천시 강원 춘천시 신북읍 신샘밭로 502 1층,4.7
한식_육류,감돈,삼겹살,14000원,0507-1319-9297,강원특별자치도 춘천시 강원 춘천시 동내면 거두택지길4번길 7-13 1층,5.0
기타양식,반타이,팟카파오두,8000원,010-9822-1440,강원특별자치도  강원 춘천시 낙원길 37 2층,4.2
한식_일반,황토집,돌솥정식,8000원,033-257-7792,강원특별자치도  강원 춘천시 벌말길 54-1,3.0
한식_일반,유명식당,물막국수,8000원,033-334-1357,강원특별자치도 평창군 대관령면 전나무길 3,3.7
