업종,업소명,주요품목,가격,연락처,주소,"주소_구,군",keyword,평점
한식_일반,자리봉국밥수완직영점,모듬국밥,9000원,062-952-0555,"광주광역시 광산구 장신로20번길 10, 101호(수완동)","광주광역시 광산구 장신로20번길 10, 101호(수완동)",광주광역시 광산구 자리봉국밥수완직영점,4.8
한식_일반,도야지에꿈식육식당,삼겹살,14000원,062-681-9292,광주광역시 북구 중외길 30(매곡동),광주광역시 북구 중외길 30(매곡동),광주광역시 북구 도야지에꿈식육식당,5.0
이미용업,해나41헤어#,남성컷트,10000원,062-266-5273,광주광역시 북구 참판로 41(풍향동),광주광역시 북구 참판로 41(풍향동),광주광역시 북구 해나41헤어#,5.0
이미용업,효동이용원,컷트,10000원,062-511-2992,광주광역시 북구 군왕로8번길 8(풍향동),광주광역시 북구 군왕로8번길 8(풍향동),광주광역시 북구 효동이용원,0.0
한식_분식,머꼬요,라면,2500원,0507-1396-3438,광주광역시 북구 우치로 186(용봉동),광주광역시 북구 우치로 186(용봉동),광주광역시 북구 머꼬요,5.0
한식_일반,혜민이네추어탕,추어탕,9000원,062-369-1237,"광주광역시 서구 대남대로450번길 11-1, 1층(농성동)","광주광역시 서구 대남대로450번길 11-1, 1층(농성동)",광주광역시 서구 혜민이네추어탕,5.0
이미용업,깻잎머리,성인커트,10000원,062-361-1781,"광주광역시 서구 경열로76번길 6, 1층(농성동)","광주광역시 서구 경열로76번길 6, 1층(농성동)",광주광역시 서구 깻잎머리,0.0
한식_일반,맛집장어구이광주점,장어구이(특3마리),20000원,062-374-3233,"광주광역시 서구 금화로73번길 18-2, 1층(금호동)","광주광역시 서구 금화로73번길 18-2, 1층(금호동)",광주광역시 서구 맛집장어구이광주점,0.0
한식_일반,청림정,삼겹살(200g),12000원,062-363-1739,광주광역시 서구 화정로293번길 25(농성동),광주광역시 서구 화정로293번길 25(농성동),광주광역시 서구 청림정,0.0
이미용업,뷰티스토리,커트,7000원,010-5140-4164,"광주광역시 광산구 수등로 273-7, 1층(신가동)","광주광역시 광산구 수등로 273-7, 1층(신가동)",광주광역시 광산구 뷰티스토리,0.0
