업종,업소명,주요품목,가격,연락처,주소,keyword,평점
한식_육류,시골본가,삼겹살500g,24000원,031-575-2626,경기도 남양주시 경기도 남양주시 오남읍 진건오남로 617,경기도 경기도 시골본가,4.5
이미용업,아리따미용실,파마,30000원,031-635-6634,경기도 이천시 중리천로21번길 18,경기도 중리천로21번길 아리따미용실,0
기타서비스업,카페구락부,아메리카노,3000원,031-635-6864,경기도 이천시 중리천로21번길 18,경기도 중리천로21번길 카페구락부,별점 없음
기타서비스업,카페이오이,아메리카노,3000원,010-2236-****,경기도 이천시 부악로 72-3 르네빌딩 1층,경기도 부악로 카페이오이,0
한식_기타,명장텐베이커리배곧점,단팥빵,1300원,031-499-4427,"경기도 시흥시 경기도 시흥시 서울대학로264번길 26-18, 110,112호(배곧동)",경기도 경기도 명장텐베이커리배곧점,0
한식_기타,커피소나타,카페라떼,3800원,0507-1356-7665,"경기도 시흥시 경기 시흥시 동서장곡길 55, 근린생활시설동 103호(장곡동)",경기도 경기 커피소나타,0
한식_일반,집밥,"보리밥,쌀밥",7000원,031-410-3822,"경기도 안산시 단원구 경기도 안산시 단원구 화랑로 408, 블루빌타운 1층(고잔동)",경기도 단원구 집밥,4.5
한식_일반,예담육개장,육개장,10000원,031-502-2525,경기도 안산시 상록구 경기도 안산시 상록구 이호로 43(본오동),경기도 상록구 예담육개장,5
한식_육류,백년식당서서갈비,돼지왕갈비 300g,15000원,031-410-0444,경기도 안산시 단원구 경기도 안산시 단원구 광덕2로 50(초지동),경기도 단원구 백년식당서서갈비,1
한식_육류,마루솥뚜껑와인삼겹살,삼겹살 150g,12000원,031-480-3010,"경기도 안산시 단원구 경기도 안산시 단원구 광덕대로 145, 강희빌딩 205호(고잔동)",경기도 단원구 마루솥뚜껑와인삼겹살,3
한식_분식,주영김밥,원조김밥,3000원,02-899-9133,"경기도 광명시 경기도 광명시 하안로 320-21, 108호(하안4동, 하안10단지 종합상가)",경기도 경기도 주영김밥,4
중식,명품짜장,짜장면,3000원,미등록,"경기도 광명시 경기도 광명시 오리로964번길 14, 1층(광명전통시장 내)",경기도 경기도 명품짜장,3.8
한식_면류,멸치국수전문점,잔치국수,6000원,031-775-9776,경기도 양평군 용문면 다문중앙1길 6,경기도 용문면 멸치국수전문점,5
한식_일반,콩이여무네,"무쇠돌솥밥, 황태순두부",10000원,031-885-7858,경기도 여주시 산북면 광여로 1107,경기도 산북면 콩이여무네,5
한식_육류,착한갈비돈내코,숯불돼지갈비(1인 200g),9000원,031-882-3392,경기도 여주시 세종로 79번길 17-3,경기도 세종로 착한갈비돈내코,2.7
이미용업,채미용실,커트,10000원,031-453-9667,경기도 의왕시 경기도 의왕시 찬우물2길 10(오전동),경기도 경기도 채미용실,0
한식_일반,엄마손칼국수,손칼국수,7000원,031-427-8869,"경기도 의왕시 경기도 의왕시 오전로156(오전동), 206호",경기도 경기도 엄마손칼국수,4.1
이미용업,헤어살롱크리스탈,파마,40000원,031-527-3060,경기도 남양주시 경기도 남양주시 진접읍 해밀예당3로 102,경기도 경기도 헤어살롱크리스탈,0
한식_일반,순화네 만두,만두국,8000원,0507-1357-6995,경기도 남양주시 경기도 남양주시 수동면 비룡로782번길 6,경기도 경기도 순화네 만두,5
한식_면류,윤아명동사골칼국수,시골칼국수,6000원,031-573-5398,경기도 남양주시 경기도 남양주시 오남읍 진건오남로 787-1,경기도 경기도 윤아명동사골칼국수,별점 없음
한식_일반,제주흑돈삼,보성녹돈삼겹살,15000원,0507-1440-8021,경기도 남양주시 경기도 남양주시 다산지금로16번길 87,경기도 경기도 제주흑돈삼,5
한식_일반,왕언니곱창,야채곱창,10000원,031-552-1159,경기도 남양주시 경기도 남양주시 미금로42번길 3-22,경기도 경기도 왕언니곱창,0
