업종,업소명,주요품목,가격,연락처,주소,keyword,평점
이미용업,바가지머리,커트,7000원,054-654-2313,경상북도 예천군 예천읍 남본리 223-36,경상북도 예천읍 바가지머리,0.0
한식_일반,기계우동,온우동,4500원,054-858-7717,"경상북도 안동시 옥동3길 41-8, A동(옥동)",경상북도 옥동3길 기계우동,4.2
한식_일반,한우축산 식당,불고기(200g),10000원,054-855-8100,경상북도 안동시 하이마로 141(송현동),경상북도 하이마로 한우축산 식당,0.0
한식_일반,맛있는 집밥,비빔밥,6000원,054-455-5888,경상북도  경상북도 구미시 금오산로5길 10(원평동),경상북도 경상북도 맛있는 집밥,0.0
한식_육류,꼴통들의 고깃집,생삼겹살(150g),8000원,054-458-8148,경상북도 구미시 경상북도 구미시 형곡서로 33-4(형곡동),경상북도 경상북도 꼴통들의 고깃집,5.0
한식_육류,대영막창,돼지막창(200g),7000원,054-456-0599,경상북도  경상북도 구미시 형곡동로 29(형곡동),경상북도 경상북도 대영막창,0.0
한식_일반,홍재보리밥,정식,6000원,054-455-3536,경상북도 구미시 구미시 형곡동로 73-1(형곡동),경상북도 구미시 홍재보리밥,5.0
이미용업,남자만들기,남성커트,6000원,010-4747-5343,경상북도 칠곡군 경상북도 칠곡군 북삼읍 안강2길 20-1,경상북도 경상북도 남자만들기,0.0
이미용업,뽀글머리미용실,뿌리염색+컷,25000원,054-771-7757,경상북도 경주시 경상북도 경주시 초당길43번길 17(동천동),경상북도 경상북도 뽀글머리미용실,0.0
한식_기타,유림커피,더치커피,3000원,010-2529-2589,"경상북도 경주시 경상북도 경주시 용담로 92번길 53-3, 105호(황성동)",경상북도 경상북도 유림커피,0.0
중식,허우짜(허세프의우끼는 짜장),짜장면,4000원,054-705-0724,경상북도 경주시 경상북도 경주시 중앙로34번길 6-1(노동동),경상북도 경상북도 허우짜(허세프의우끼는 짜장),5.0
한식_일반,범천매운탕,어탕국수,7000원,054-749-5705,경상북도 경주시 경상묵도 경주시 백률로 63(동천동),경상북도 경상묵도 범천매운탕,별점 없음
이미용업,서광미용실,여성커트,5000원,054-251-6273,경상북도 포항시 북구 경상북도 포항시 북구 삼호로 487-12,경상북도 북구 서광미용실,0.0
이미용업,with 헤어스토리,커트,10000원,054-652-3456,경상북도 예천군 경상북도예천군 예천읍 효자로 40,경상북도 경상북도예천군 with 헤어스토리,0.0
기타서비스업,오고(OHGO),아메리카노,2000원,054-371-2589,경상북도 청도군 청도읍 양정길 25,경상북도 청도읍 오고(OHGO),5.0
이미용업,권헤어,커트(여성),10000원,010-8568-0093,경상북도 포항시 북구 경상북도 포항시 북구 죽도시장5길 4-6,경상북도 북구 권헤어,1.0
이미용업,우방이용소,염색,10000원,010-2839-9383,"경상북도 포항시 북구 경상북도 포항시 북구 대안길 67, 가동 2층 202호",경상북도 북구 우방이용소,0.0
이미용업,착한헤어,펌,30000원,010-9390-3567,"경상북도 포항시 북구 경상북도 포항시 북구 우창동로56번길 4-7, 1층",경상북도 북구 착한헤어,0.0
이미용업,사라미용실,커트,7000원,054-277-9216,경상북도 포항시 북구 경상북도 포항시 북구 두호로 20번길 8,경상북도 북구 사라미용실,0.0
이미용업,여진주미용실,커트,10000원,054-247-6945,"경상북도 포항시 북구 경상북도 포항시 북구 학전로 74, B동 23호(해변종합상가)",경상북도 북구 여진주미용실,0.0
이미용업,란헤어샵,파마,30000원,010-2996-7882,"경상북도 포항시 북구 경상북도 포항시 북구 장량로139번길 11, 1층 102호",경상북도 북구 란헤어샵,5.0
한식_육류,일심식당,삼겹살(120g),8000원,054-231-0030,"경상북도 포항시 북구 경상북도 포항시 북구 성실로 37, 1층 102호",경상북도 북구 일심식당,3.0
한식_일반,수탉양군,닭곰탕,5000원,010-5479-9855,경상북도 포항시 북구 경상북도 포항시 북구 환호로 68,경상북도 북구 수탉양군,별점 없음
이미용업,더미소헤어,여성커트,10000원,010-3808-8891,경상북도 포항시 북구 경상북도 포항시 북구 삼호로 487-1,경상북도 북구 더미소헤어,0.0
한식_면류,춘영국수,잔치국수,5000원,010-5603-0390,"경상북도 포항시 북구 경상북도 포항시 북구 기계면 기계로56번길 7, 1층",경상북도 북구 춘영국수,0.0
