업종,업소명,주요품목,가격,연락처,주소,평점
한식_면류,아줌마우동,우동(소),4000원,055-354-7510,경상남도 밀양시 중앙로 289-24,별점 없음
한식_분식,굴림당,만두,5000원,010-3734-3373,경상남도 밀양시 밀양시 남천강변로 3길 7 1층,4.8
한식_일반,영남멘,라멘,8900원,010-3734-3373,경상남도 밀양시 밀양시 상설시장 1길 11 207호~214호,별점 없음
이미용업,살롱드 해미,남성커트,13000원,0507-1356-7079,경상남도 통영시 해미당2길 20 1층,0.0
한식_해산물,성포횟집,모둠회(소),60000원,055-642-9910,경상남도 통영시 북신동 697,0.0
한식_찌개류,만풍해물뚝배기,해물뚝배기,15000원,0507-1363-9887,경상남도 통영시 항남2길 17,4.3
한식_면류,통영잔치국수,잔치국수,5000원,070-4046-5549,경상남도 통영시 통영시 광도면 죽림5로 34,4.9
한식_면류,양동손칼국수,칼국수,5000원,055-532-9853,경상남도 창녕군 창녕읍 명덕로 18,0.0
한식_면류,장백산칼국수,칼국수,7000원,055-536-0098,경상남도 창녕군 도천면 온천로 338,4.8
이미용업,남성머리컷트점,커트,10000원,070-8809-5330,경상남도 창녕군 창녕읍 군청길 21,0.0
중식,덕대반점,짜장면,5000원,055-536-1779,경상남도 창녕군 영산면 신영산로 52,4.2
기타서비스업,솔로몬독서실,하루,5000원,0507-1383-6505,"경상남도 밀양시 중앙로 234-9, 203호,204호,205호",0.0
한식_면류,밀밭분식,국수,4500원,010-9419-4959,경상남도 진주시 가좌길40번길 2,별점 없음
한식_육류,"제이아이피(JIP), 임시정",생돈뿔(150g),7000원,055-354-8163,경상남도 밀양시 중앙로 256-1 (삼문동),별점 없음
한식_일반,수아,정식,6000원,055-391-4009,경상남도 밀양시 초동면 범평1길 14-1,5.0
한식_육류,영호식당,돼지갈비(220g),9000원,055-932-2051,경상남도 합천군 적중면 적중로 108,5.0
한식_일반,한다라이,해장국,8000원,010-2446-7494,경상남도 거창군 거창읍 시장2길 18,0.0
한식_육류,아빠축산,밀푀유나베(4인기준),18900원,010-6449-0417,"경상남도 양산시 진등길 15, 상가동 101-2호(주진동, 양우내안애)",0.0
한식_일반,흙내음반찬,시락국(1.3kg),3000원,055-388-0993,"경상남도 양산시 내연1길 3-1, 1층 3,4호(평산동, 경보그린타워)",0.0
기타양식,파니파니,아메리카노,1000원,055-363-0228,"경상남도 양산시 배움터길 11, 부상가동 1층 103호(평산동, 평산휴먼시아)",0.0
세탁업,조크리닝,정장한벌,5000원,055-237-4005,"경상남도 창원시 의창구 경상남도 창원시 의창구 도계로 120(도계동, 지하)",0.0
한식_면류,복가득뚱보갈비,물냉면,6000원,055-243-0172,경상남도 창원시 마산합포구 경상남도 창원시 마산합포구 노산서18길 114(교방동),0.0
기타서비스업,365건강드림운동센터,"필라테스(1개월,8회)",120000원,055-759-6714,경상남도 진주시 진성면 동부로 1316,0.0
한식_면류,국수타임,잔치국수,4500원,055-761-1808,경상남도 진주시 진주시 개양로5번길 12,4.5
한식_일반,사랑채,멸치쌈밥(1인),11000원,055-863-5244,경상남도 남해군 이동면 남해대로1567번길 12,3.6
기타서비스업,커피빅스,아메리카노,3500원,055-758-3636,경상남도 진주시 강남로 331,4.5
기타서비스업,카페온,아메리카노,2500원,055-920-0400,"경상남도 진주시 충의로 30, SH타워 104호",5.0
한식_육류,서정골한우촌,한우특수부위(150g),22000원,055-761-8222,경상남도 진주시 문산읍 소문길31번길 10,3.5
중식,신해물짬뽕,짜장면,5000원,055-756-0852,경상남도 진주시 상대로 26-1,0.0
중식,7080짜장짬뽕,짜장면,3000원,055-761-7087,경상남도 진주시 진산로 208,2.5
한식_면류,방가네촌국수 맛있는짜장,촌국수,5000원,055-744-0130,경상남도 진주시 하촌로 10,별점 없음
