업종,업소명,주요품목,가격,연락처,주소,"주소_구,군",keyword,평점
한식_일반,착한탕국,선짓국(2인분),7000원,032-872-8294,인천광역시 미추홀구 인하로 266번길 29(주안동),인천광역시 미추홀구 인하로 266번길 29(주안동),인천광역시 미추홀구 착한탕국,0.0
이미용업,고은헤어,커트,12000원,032-573-2851,인천광역시 서구 건지로249번길 38-1 (석남동),인천광역시 서구 건지로249번길 38-1 (석남동),인천광역시 서구 고은헤어,0.0
한식_일반,술상&밥상,김치찌개,7000원,032-577-9305,"인천광역시 서구 옺우물로26번길 8, 1층 (석남동)","인천광역시 서구 옺우물로26번길 8, 1층 (석남동)",인천광역시 서구 술상&밥상,5.0
한식_일반,거북골,순두부,8000원,032-577-3159,"인천광역시 서구 거북로119번길 2, 1층 (석남동)","인천광역시 서구 거북로119번길 2, 1층 (석남동)",인천광역시 서구 거북골,0.0
기타양식,빈스토리 계산점,아메리카노,2000원,032-552-3518,"인천광역시 계양구 어사대로9번길 2, 102호(계산동, 성신하이츠빌)","인천광역시 계양구 어사대로9번길 2, 102호(계산동, 성신하이츠빌)",인천광역시 계양구 빈스토리 계산점,5.0
한식_일반,전주콩나물국밥,콩나물국밥,5000원,032-777-0321,인천광역시 중구 제물량로 245-2(항동1가),인천광역시 중구 제물량로 245-2(항동1가),인천광역시 중구 전주콩나물국밥,3.5
양식,비바첼 키친,알리오올리오&스테이크,12900원,032-777-2064,인천광역시 중구 자유공원서로37번길 8-5(송월동3가),인천광역시 중구 자유공원서로37번길 8-5(송월동3가),인천광역시 중구 비바첼 키친,5.0
한식_일반,철이네손수제비랑칼국수(신흥),수제비,6000원,032-204-8990,인천광역시 중구 인중로144번길 71-1(답동),인천광역시 중구 인중로144번길 71-1(답동),인천광역시 중구 철이네손수제비랑칼국수(신흥),별점 없음
한식_일반,경기호,조개칼국수,5000원,010-8000-2995,인천광역시 중구 예단포1로 2-10(운북동),인천광역시 중구 예단포1로 2-10(운북동),인천광역시 중구 경기호,별점 없음
한식_일반,백원이네,해물라면,5000원,032-751-5059,인천광역시 중구 예단포1로 2-10(운북동),인천광역시 중구 예단포1로 2-10(운북동),인천광역시 중구 백원이네,1.0
이미용업,수빈헤어샵,컷트,10000원,032-579-6470,인천광역시 서구 명가골로 28 (석남동),인천광역시 서구 명가골로 28 (석남동),인천광역시 서구 수빈헤어샵,1.0
이미용업,모디쉬헤어,커트,10000원,010-7329-5969,인천광역시 미추홀구 한나루로 489번길 59(용현동),인천광역시 미추홀구 한나루로 489번길 59(용현동),인천광역시 미추홀구 모디쉬헤어,0.0
한식_일반,장모님본가,한방삼계탕,14000원,032-543-5262,"인천광역시 계양구 봉오대로691번길 27, 1층(작전동)","인천광역시 계양구 봉오대로691번길 27, 1층(작전동)",인천광역시 계양구 장모님본가,5.0
한식_일반,원조가격파괴,라면세트,5500원,032-872-7380,인천광역시 미추홀구 경인남길 30번길 40(용현동),인천광역시 미추홀구 경인남길 30번길 40(용현동),인천광역시 미추홀구 원조가격파괴,4.0
한식_육류,숯불구이 먹방(인하대점),육회비빔밥,6000원,032-214-4544,인천광역시 미추홀구 경인남길 30번길 39(용현동),인천광역시 미추홀구 경인남길 30번길 39(용현동),인천광역시 미추홀구 숯불구이 먹방(인하대점),별점 없음
기타서비스업,㈜채가,리모컨 조명,80000원,032-937-9265,인천광역시 미추홀구 동주길 120번길 63(주안동),인천광역시 미추홀구 동주길 120번길 63(주안동),인천광역시 미추홀구 ㈜채가,0.0
양식,갈산냉면家돈까스,매콤까스,8500원,032-513-7982,"인천광역시 부평구 주부토로 308, 1층 (갈산동)","인천광역시 부평구 주부토로 308, 1층 (갈산동)",인천광역시 부평구 갈산냉면家돈까스,별점 없음
이미용업,미장제이케이,남성커트,8000원,010-9346-3691,"인천광역시 부평구 열우물로50번길 83, 1층 (십정동)","인천광역시 부평구 열우물로50번길 83, 1층 (십정동)",인천광역시 부평구 미장제이케이,0.0
한식_일반,타박네,가정식백반,8000원,032-519-6595,인천광역시 부평구 길주로602번길 3(부평동),인천광역시 부평구 길주로602번길 3(부평동),인천광역시 부평구 타박네,3.7
한식_일반,박가네삼감포,장어탕,7000원,032-422-5449,인천광역시 남동구 논현로46번길 14(논현동),인천광역시 남동구 논현로46번길 14(논현동),인천광역시 남동구 박가네삼감포,5.0
이미용업,남촌컷트클럽,컷트,8000원,032-463-9923,인천광역시 남동구 남촌동로35번길 3(남촌동),인천광역시 남동구 남촌동로35번길 3(남촌동),인천광역시 남동구 남촌컷트클럽,0.0
한식_일반,정김밥,김밥,2500원,032-461-3332,인천광역시 남동구 만수서로105번길 25(만수동),인천광역시 남동구 만수서로105번길 25(만수동),인천광역시 남동구 정김밥,5.0
이미용업,스마일맨,컷트,8000원,032-213-0096,인천광역시 남동구 구월남로 300-2(구월동),인천광역시 남동구 구월남로 300-2(구월동),인천광역시 남동구 스마일맨,1.0
한식_일반,두루정,돼지김치짜글이,9000원,032-555-2572,"인천광역시 계양구 오조산로89번길 6, 105호(용종동, 에메랄드빌딩)","인천광역시 계양구 오조산로89번길 6, 105호(용종동, 에메랄드빌딩)",인천광역시 계양구 두루정,5.0
한식_일반,에바다떡볶이,떡볶이,3000원,032-423-7494,인천광역시 남동구 장도로 4-2(논현동),인천광역시 남동구 장도로 4-2(논현동),인천광역시 남동구 에바다떡볶이,4.4
이미용업,동양이용원,커트,12000원,032-519-3383,"인천광역시 부평구 안남로417번길 13, 1층 일부(청천동)","인천광역시 부평구 안남로417번길 13, 1층 일부(청천동)",인천광역시 부평구 동양이용원,5.0
한식_면류,면사무소,멸치국수,5000원,032-515-6660,"인천광역시 부평구 부흥로303번길 31, 1층(부평동)","인천광역시 부평구 부흥로303번길 31, 1층(부평동)",인천광역시 부평구 면사무소,5.0
이미용업,중앙이용원,커트,10000원,032-518-1053,"인천광역시 부평구 부흥로243번길 7, 106호(부평동)","인천광역시 부평구 부흥로243번길 7, 106호(부평동)",인천광역시 부평구 중앙이용원,0.0
