업종,업소명,주요품목,가격,연락처,주소,"주소_구,군",keyword,평점
한식_일반,색달가든 깐부고깃집,"오겹살, 목살(200g)",9000원,064-751-4884,제주도 제주시 제주특별자치도 제주시 오복3길 20,제주도 제주시 제주특별자치도 제주시 오복3길 20,제주도 제주시 색달가든 깐부고깃집,별점 없음
한식_일반,영락마을회관국수 연동본점,고기국수,8000원,010-9639-2265,제주도 제주시 제주특별자치도 제주시 신대로16길 37-1 (연동),제주도 제주시 제주특별자치도 제주시 신대로16길 37-1 (연동),제주도 제주시 영락마을회관국수 연동본점,별점 없음
숙박업,제주스테이,스탠다드더블룸,38000원,064-755-7945,제주도 제주시 제주특별자치도 제주시 무근성7길 22(삼도이동),제주도 제주시 제주특별자치도 제주시 무근성7길 22(삼도이동),제주도 제주시 제주스테이,2.5
한식_일반,장모식탁,전복돌솥밥+순두부찌개,14000원,064-805-7158,"제주도 제주시 제주특별자치도 제주시 연신로 51, 1층","제주도 제주시 제주특별자치도 제주시 연신로 51, 1층",제주도 제주시 장모식탁,4.4
한식_일반,찍멍부멍,탕수육(미니),8000원,064-722-7090,"제주도 제주시 제주특별자치도 제주시 연신로 70, 103호","제주도 제주시 제주특별자치도 제주시 연신로 70, 103호",제주도 제주시 찍멍부멍,5
한식_일반,추자회소랑,활어회코스A(1인),40000원,064-725-5155,제주도 제주시 제주특별자치도 제주시 신설로9길 46-3(이도이동),제주도 제주시 제주특별자치도 제주시 신설로9길 46-3(이도이동),제주도 제주시 추자회소랑,5
한식_일반,파랑새,고기국수,7000원,064-757-9475,제주도 제주시 제주특별자치도 제주시 도남로 78,제주도 제주시 제주특별자치도 제주시 도남로 78,제주도 제주시 파랑새,3.2
기타서비스업,흑백컬러사진관,가족사진2인(액자포함),120000원,0507-1441-0397,"제주도 제주시 제주특별자치도 제주시 신성로 13길 26, 2층","제주도 제주시 제주특별자치도 제주시 신성로 13길 26, 2층",제주도 제주시 흑백컬러사진관,4.4
한식_일반,식도원,한식뷔페,9000원,064-725-8669,"제주도 제주시 제주특별자치도 제주시 연삼로 498, 1층(이도이동)","제주도 제주시 제주특별자치도 제주시 연삼로 498, 1층(이도이동)",제주도 제주시 식도원,4.7
한식_일반,뽈살집 별관,흑돼지 특수부위(大 700~750g),69000원,064-763-6860,제주도 서귀포시 제주특별자치도 서귀포시 중정로91번길 39-1,제주도 서귀포시 제주특별자치도 서귀포시 중정로91번길 39-1,제주도 서귀포시 뽈살집 별관,4.5
한식_일반,뽈살집 제주본점,흑돼지 특수부위(大 700~750g),69000원,064-763-6860,"제주도 서귀포시 제주특별자치도 서귀포시 중정로91번길 41, 2층","제주도 서귀포시 제주특별자치도 서귀포시 중정로91번길 41, 2층",제주도 서귀포시 뽈살집 제주본점,4.5
한식_일반,뽈살집,흑돼지 특수부위(大 700~750g),69000원,064-763-6860,"제주도 서귀포시 제주특별자치도 서귀포시 중정로91번길 41, 1층","제주도 서귀포시 제주특별자치도 서귀포시 중정로91번길 41, 1층",제주도 서귀포시 뽈살집,4.5
이미용업,금천미용실,커트,10000원,064-758-9254,제주도 제주시 제주특별자치도 제주시 중앙로23길 6,제주도 제주시 제주특별자치도 제주시 중앙로23길 6,제주도 제주시 금천미용실,0
한식_일반,복돼지식당,고사리비빔밥,7000원,0507-1330-0290,제주도 서귀포시 제주특별자치도 서귀포시 표선면 서성일로 63,제주도 서귀포시 제주특별자치도 서귀포시 표선면 서성일로 63,제주도 서귀포시 복돼지식당,3.1
중식,명경식당,탕수육(소),12000원,064-794-9557,제주도 서귀포시 제주특별자치도 서귀포시 안덕면 화순로 88,제주도 서귀포시 제주특별자치도 서귀포시 안덕면 화순로 88,제주도 서귀포시 명경식당,3.4
한식_일반,성환이네,보리밥(비빔밥),6000원,0507-1390-5201,제주도 서귀포시 제주특별자치도 서귀포시 성산읍 동류암로36번길 6,제주도 서귀포시 제주특별자치도 서귀포시 성산읍 동류암로36번길 6,제주도 서귀포시 성환이네,5
숙박업,라인호텔,더블객실(평일),50000원,064-722-8161,제주도 제주시 제주특별자치도 제주시 동광로 40,제주도 제주시 제주특별자치도 제주시 동광로 40,제주도 제주시 라인호텔,4.3
기타양식,오또도넛,오리지널글레이즈도넛,1500원,064-904-1516,제주도 서귀포시 제주특별자치도 서귀포시 중문상로 87(중문동),제주도 서귀포시 제주특별자치도 서귀포시 중문상로 87(중문동),제주도 서귀포시 오또도넛,4.6
양식,라피스,치즈토마토파스타,12900원,0507-1492-5223,제주도 서귀포시 제주특별자치도 서귀포시 홍중로 28-1,제주도 서귀포시 제주특별자치도 서귀포시 홍중로 28-1,제주도 서귀포시 라피스,5
이미용업,린헤어,커트,15000원,0507-1385-0184,제주도 서귀포시 제주특별자치도 서귀포시 동홍중앙로 58-16,제주도 서귀포시 제주특별자치도 서귀포시 동홍중앙로 58-16,제주도 서귀포시 린헤어,0
한식_일반,가람,추어탕,10000원,064-756-0012,"제주도 제주시 제주특별자치도 제주시 복지로북길 4, 1층","제주도 제주시 제주특별자치도 제주시 복지로북길 4, 1층",제주도 제주시 가람,3.2
기타서비스업,정스터디카페,자유석 기간권(14일),60000원,0507-1307-9106,제주도 서귀포시 제주특별자치도 서귀포시 동홍서로 97-1,제주도 서귀포시 제주특별자치도 서귀포시 동홍서로 97-1,제주도 서귀포시 정스터디카페,0
한식_일반,고기서맛나(하몽이네),제주산 생뒷고기,9000원,0507-1322-1011,"제주도 제주시 제주특별자치도 제주시 중앙로21길 4, 1층(이도일동)","제주도 제주시 제주특별자치도 제주시 중앙로21길 4, 1층(이도일동)",제주도 제주시 고기서맛나(하몽이네),4.8
이미용업,도담.헤어,여자커트,15000원,0507-1433-5586,"제주도 서귀포시 제주특별자치도 서귀포시 동문로 53, 1층","제주도 서귀포시 제주특별자치도 서귀포시 동문로 53, 1층",제주도 서귀포시 도담.헤어,0
한식_일반,보리해장국,해장국,9000원,064-745-5052,"제주도 제주시 제주특별자치도 제주시 우령서로16길 2, 1층","제주도 제주시 제주특별자치도 제주시 우령서로16길 2, 1층",제주도 제주시 보리해장국,5
한식_일반,육회포차,육회비빔밥,8000원,064-763-9977,"제주도 서귀포시 제주특별자치도 서귀포시 중앙로71번길 4, 1층","제주도 서귀포시 제주특별자치도 서귀포시 중앙로71번길 4, 1층",제주도 서귀포시 육회포차,5
한식_일반,신산명성식당,명성정식,10000원,064-755-6664,제주도 제주시 제주특별자치도 제주시 삼성로 94,제주도 제주시 제주특별자치도 제주시 삼성로 94,제주도 제주시 신산명성식당,3.3
이미용업,진희미용실,커트,5000원,064-751-1128,제주도 제주시 제주특별자치도 제주시 동광로17길 27,제주도 제주시 제주특별자치도 제주시 동광로17길 27,제주도 제주시 진희미용실,0
한식_일반,제주라면2호점,해물라면,7000원,064-747-9666,"제주도 제주시 제주특별자치도 제주시 서해안로 210, 1층(도두일동)","제주도 제주시 제주특별자치도 제주시 서해안로 210, 1층(도두일동)",제주도 제주시 제주라면2호점,4.2
한식_일반,춘향이네,장터순대국밥,7000원,064-712-4064,"제주도 제주시 제주특별자치도 제주시 오일장동길 36, 1층(도두일동)","제주도 제주시 제주특별자치도 제주시 오일장동길 36, 1층(도두일동)",제주도 제주시 춘향이네,3.7
한식_일반,제주포,스지쌀국수,11000원,010-9982-3692,"제주도 제주시 제주특별자치도 제주시 동문로4길 9, 지하1층 A-8호","제주도 제주시 제주특별자치도 제주시 동문로4길 9, 지하1층 A-8호",제주도 제주시 제주포,5
한식_일반,제라진뚝배기갈비찜,뚝배기갈비찜,11000원,064-711-6232,"제주도 제주시 제주특별자치도 제주시 도공로 20, 1층","제주도 제주시 제주특별자치도 제주시 도공로 20, 1층",제주도 제주시 제라진뚝배기갈비찜,4
한식_일반,제주몰래물밥상,활우럭조림밥상(2-3인),48000원,064-711-8919,제주도 제주시 제주특별자치도 제주시 도두항서길 65(도두일동),제주도 제주시 제주특별자치도 제주시 도두항서길 65(도두일동),제주도 제주시 제주몰래물밥상,4.8
한식_일반,산도롱앤드또똣,아메리카노,2000원,010-7179-1499,"제주도 제주시 제주특별자치도 제주시 중앙로 지하 60, 지하1층 25호(일도일동)","제주도 제주시 제주특별자치도 제주시 중앙로 지하 60, 지하1층 25호(일도일동)",제주도 제주시 산도롱앤드또똣,별점 없음
한식_일반,올래어촌,회정식,15000원,0507-1328-2992,제주도 제주시 제주특별자치도 제주시 태우해안로 166,제주도 제주시 제주특별자치도 제주시 태우해안로 166,제주도 제주시 올래어촌,3.8
한식_일반,동진,멸치국수,6000원,010-2366-6045,제주도 제주시 제주특별자치도 제주시 동문로4길 9(일도일동),제주도 제주시 제주특별자치도 제주시 동문로4길 9(일도일동),제주도 제주시 동진,3.8
한식_일반,남촌식당,멸치국수,6000원,064-753-1502,제주도 제주시 제주특별자치도 제주시 서광로 174,제주도 제주시 제주특별자치도 제주시 서광로 174,제주도 제주시 남촌식당,4.5
한식_일반,황금숯불닭갈비,닭소금구이(320g),14000원,064-746-0745,제주도 제주시 제주특별자치도 제주시 월랑로 10길 25(노형동),제주도 제주시 제주특별자치도 제주시 월랑로 10길 25(노형동),제주도 제주시 황금숯불닭갈비,4.8
한식_일반,착한제주고등어,고등어구이정식,6000원,064-725-5751,"제주도 제주시 제주특별자치도 제주시 신산로2길 25, 1층(일도일동)","제주도 제주시 제주특별자치도 제주시 신산로2길 25, 1층(일도일동)",제주도 제주시 착한제주고등어,4.9
