업종,업소명,주요품목,가격,연락처,주소,keyword,평점
기타서비스업,요나카페,아인슈패너,5500원,063-930-8263,전라북도 남원시 시청남로 26,전라북도 시청남로 요나카페,5
한식_면류,소이칼국수,칼국수,5000원,070-7797-7488,"전라북도 전주시 덕진구 동부대로 575, 108호(우아동3가, 우정신세계)",전라북도 덕진구 소이칼국수,별점 없음
한식_일반,대물민물장어,"민물장어(1kg, 매장)",64000원,063-716-9699,"전라북도 전주시 완산구 삼천천변2길 27, 1층(삼천동1가)",전라북도 완산구 대물민물장어,4
이미용업,쿨헤어라인,염색,40000원,010-3677-4696,전라북도 전주시 덕진구 와룡1길 11(송천동2가),전라북도 덕진구 쿨헤어라인,0
양식,야미전북대점,수제돈가스,6900원,063-277-6678,"전라북도 전주시 덕진구 명륜4길 21-5, 2층(덕진동1가)",전라북도 덕진구 야미전북대점,4.4
기타양식,나눔공정카페,아메리카노,1800원,063-278-9799,"전라북도 전주시 완산구 전룡4길 8, 1층",전라북도 완산구 나눔공정카페,5
한식_일반,청년식탁 사잇길,김치찌개,3000원,063-272-0214,"전라북도 전주시 덕진구 백제대로 563, 2층 210호(금암동)",전라북도 덕진구 청년식탁 사잇길,5
한식_일반,아리랑하우스,한우탕,9000원,063-241-9300,전라북도 전주시 덕진구 한배미1길 29(인후동1가),전라북도 덕진구 아리랑하우스,3.6
한식_분식,훈희국수,"백반(요일별 청국장, 육개장, 뼈다귀탕)",7000원,063-247-1275,"전라북도 전주시 덕진구 우아8길 8, 1층(우아동3가)",전라북도 덕진구 훈희국수,5
한식_육류,가마솥곰탕,설렁탕,8000원,063-564-0988,전라북도 고창군 전라북도 고창군 고수면 고인돌대로 1438,전라북도 전라북도 가마솥곰탕,3.8
기타서비스업,커피를부탁해,아메리카노,3500원,070-4647-2789,전라북도 고창군 전라북도 고창군 고창읍 중앙로 313,전라북도 전라북도 커피를부탁해,5
한식_일반,미향,새싹비빔밥,7000원,063-564-2107,전라북도 고창군 전라북도 고창군 고창읍 모양성로 27,전라북도 전라북도 미향,4.1
한식_일반,웅이집,콩나물국밥,6000원,063-452-9544,전라북도 군산시 오룡로 60-1,전라북도 오룡로 웅이집,0
한식_일반,정옥추어탕,추어탕,10000원,063-635-7087,전라북도 남원시 신정동 913,전라북도 신정동 정옥추어탕,별점 없음
한식_일반,낭만고등어,고등어구이,9000원,063-633-2599,전라북도 남원시 시청북로 20,전라북도 시청북로 낭만고등어,0
한식_일반,황산토종정육식당,흑돼지생삼겹살200g,12000원,063-634-7293,전라북도 남원시 운봉읍 황산로 1100,전라북도 운봉읍 황산토종정육식당,3.5
이미용업,설렘헤어,학생컷,12000원,0507-1310-9471,전라북도 부안군 변산면 격포로 244,전라북도 변산면 설렘헤어,0
한식_일반,묵밥앤국수 진안농가맛집,비빔국수,6000원,063-433-0754,전라북도 진안군 진안읍 진무로 487,전라북도 진안읍 묵밥앤국수 진안농가맛집,별점 없음
한식_일반,진안관,오리주물럭,50000원,063-433-2629,전라북도 진안군 진안읍 진장로 21,전라북도 진안읍 진안관,3.9
한식_일반,친정에밥상,뷔폐식 백반,7000원,063-262-2526,전라북도 완주군 봉동읍 봉동동서로 122-2,전라북도 봉동읍 친정에밥상,0
한식_일반,온고을,옻닭,60000원,010-8835-0437,전라북도 장수군 계남면 음천길 40-27,전라북도 계남면 온고을,5
한식_일반,전장의신부대찌개,부대찌개,9000원,063-471-7252,"전라북도 군산시 칠성안4길16, 102호","전라북도 칠성안4길16, 전장의신부대찌개",0
한식_일반,막창일번지,한우육개장,8000원,063-465-9501,전라북도 군산시 서수송안1길 15-3,전라북도 서수송안1길 막창일번지,4.4
한식_일반,순이칼국수,돌솥비빔밥,8500원,0507-1328-1978,전라북도 군산시 조촌4길 33-4,전라북도 조촌4길 순이칼국수,5
한식_일반,신동꽃게장,꽃게장+꽃게알탕,10000원,063-858-3233,전라북도 익산시 동서로21길 72-1,전라북도 동서로21길 신동꽃게장,별점 없음
기타서비스업,엘투와이투카페,커피,2500원,0507-1421-5119,전라북도 군산시 월명1길 15-3,전라북도 월명1길 엘투와이투카페,0
한식_일반,구림국수,물국수,5000원,063-653-0629,전라북도 순창군 구림면 구림로 480,전라북도 구림면 구림국수,4.5
한식_일반,공주식당,쌈밥,9000원,063-653-5833,전라북도 순창군 순창읍 순창5길 32,전라북도 순창읍 공주식당,5
한식_일반,고기마당,동태찌개,8000원,063-653-2665,전라북도 순창군 순창읍 순창6길 12,전라북도 순창읍 고기마당,0
한식_일반,해장명가,콩나물국,7000원,063-653-7896,전라북도 순창군 순창읍 순창5길 10,전라북도 순창읍 해장명가,1
한식_일반,행복식당,제육쌈밥,10000원,063-653-5365,전라북도 순창군 순창읍 옥천동길 39,전라북도 순창읍 행복식당,3.7
한식_일반,고향산천,한식뷔페(대인),8000원,063-653-7163,전라북도 순창군 순창읍 순창로 5,전라북도 순창읍 고향산천,5
양식,페이스,김치볶음밥,6500원,063-842-2725,"전라북도 익산시 중앙로1길 19, 2층",전라북도 중앙로1길 페이스,5
한식_일반,토마토아구찜,아구찜(2인),22000원,063-836-1401,전라북도 익산시 선화로13길 40,전라북도 선화로13길 토마토아구찜,0
중식,장날,짜장면,5000원,063-862-2457,전라북도 익산시 낭산면 오미길 4,전라북도 낭산면 장날,4.8
한식_일반,아리울정육식당,한우버섯불고기(점심),8000원,063-722-9292,전라북도 익산시 무왕로 1247,전라북도 무왕로 아리울정육식당,5
한식_일반,전원숯불갈비,돼지갈비 200g,12000원,063-636-6901,전라북도 남원시 인월면 인월장터로 30,전라북도 인월면 전원숯불갈비,5
기타서비스업,스튜디오나인,여권사진(8매),12000원,063-917-0997,전라북도 익산시 익산대로70길 33,전라북도 익산대로70길 스튜디오나인,0
기타양식,빵세상,단팥빵,1000원,063-832-1314,전라북도 익산시 부송1로 69,전라북도 부송1로 빵세상,0
한식_일반,배여사뼈다귀탕,뼈해장국,6000원,063-842-5292,"전라북도 익산시 배산로 165-5, 2층",전라북도 배산로 배여사뼈다귀탕,4.2
기타양식,머거본도너츠,찹쌀도너츠(3개),2000원,063-836-0448,전라북도 익산시 고봉로18길 97,전라북도 고봉로18길 머거본도너츠,4
한식_육류,골목집,생삼겹살(600g),30000원,010-6702-0999,전라북도 익산시 서동로 132,전라북도 서동로 골목집,0
이미용업,김태희헤어샵,커트,12000원,063-547-7115,전라북도 김제시 김제시 도작로 33 상가동 203호,전라북도 김제시 김태희헤어샵,0
기타서비스업,그랜드헬스클럽,1개월,60000원,063-546-7893,"전라북도 김제시 도작로 22, 2층",전라북도 도작로 그랜드헬스클럽,5
한식_일반,신당동옛날떡볶이,떡볶이1인분,5000원,063-544-7973,전라북도 김제시 동서로 180-1(요촌동),전라북도 동서로 신당동옛날떡볶이,별점 없음
한식_일반,미가옥,콩나물국밥,6000원,063-544-8080,전라북도 김제시 검산택지1길 11-22,전라북도 검산택지1길 미가옥,4.5
중식,영광짬뽕,짜장,5000원,0507-0090-6688,전라북도 김제시 화동길 98,전라북도 화동길 영광짬뽕,3.5
한식_일반,장터국밥,소머리국밥,11000원,063-633-4520,전라북도 남원시 용성로 18,전라북도 용성로 장터국밥,5
이미용업,버르장머리헤어샵,"커트(남,여)",7000원,063-852-9889,전라북도 익산시 신동로 78,전라북도 신동로 버르장머리헤어샵,0
기타양식,카페씨에스타 2호점,"수제요거트(블루베리,백향과,자몽,딸기)",6000원,063-636-8508,전라북도 남원시 양림길 48,전라북도 양림길 카페씨에스타 2호점,3.7
한식_일반,절구통,보쌈 대,55000원,063-626-4930,전라북도 남원시 조산안길 28,전라북도 조산안길 절구통,4.2
이미용업,김채하남성컷,커트(샴푸×),7000원,010-8805-8260,"전라북도 전주시 완산구 충경로 121, 1층(경원동3가)",전라북도 완산구 김채하남성컷,별점 없음
한식_일반,소양국수집,물국수,4000원,063-243-7720,전라북도 완주군 소양면 소양로 229,전라북도 소양면 소양국수집,0
한식_일반,수성갈비,생삼겹살(200g),8000원,063-535-4898,전라북도 정읍시 수성택지5길 48-9,전라북도 수성택지5길 수성갈비,5
한식_육류,화끈장어&갈비살,장어(1kg)+갈비살(150g),69000원,0507-0090-0428,전라북도 군산시 하나운안1길 8-4,전라북도 하나운안1길 화끈장어&갈비살,3
기타서비스업,수연축산유통,삼겹살(600g),15900원,063-446-3510,전라북도 군산시 진포로 229,전라북도 진포로 수연축산유통,0
한식_육류,옥천왕족발,족발(대),33000원,063-465-0033,전라북도 군산시 상나운3길 35,전라북도 상나운3길 옥천왕족발,5
기타양식,커피브루,아메리카노,2500원,0507-1410-2268,전라북도 진안군 진안읍 시장길 82,전라북도 진안읍 커피브루,5
한식_일반,금강참붕어,어제비,9000원,063-432-3100,전라북도 진안군 상전면 금지1길 18-20,전라북도 상전면 금강참붕어,4.4
중식,전설의손짜장,손짜장,4000원,063-854-9989,전라북도 익산시 인북로11길 8,전라북도 인북로11길 전설의손짜장,5
중식,형제반점,짜장면,5000원,063-642-8340,전라북도 임실군 오수면 오수로 185,전라북도 오수면 형제반점,4.5
이미용업,미헤어,커트(남성),10000원,063-852-4848,"전라북도 익산시 중앙로5길 19, 1층",전라북도 중앙로5길 미헤어,별점 없음
한식_육류,맛집장어구이본점,바다장어(1인분),10000원,063-852-3303,전라북도 익산시 동서로18길 32,전라북도 동서로18길 맛집장어구이본점,4.9
숙박업,위도빌리지,정금1동(평일 3인이하),50000원,063-581-7790,전라북도 부안군 위도면 위도로 656,전라북도 위도면 위도빌리지,5
한식_일반,고향식당,김치찌개,8000원,063-636-5410,전라북도 남원시 인월장터로 54,전라북도 인월장터로 고향식당,0
한식_일반,진안순두부집,추어탕,7000원,063-433-0622,"전라북도 진안군 진안읍 시장1길 16, 150호",전라북도 진안읍 진안순두부집,5
양식,야미돈까스,잔치국수,5000원,063-232-0592,전라북도 완주군 상관면 신리로 99,전라북도 상관면 야미돈까스,0
한식_일반,와라분식,등심돈까스,8000원,063-282-5544,전라북도 완주군 상관면 신리로 99,전라북도 상관면 와라분식,0
한식_일반,마당밥상,백반,8000원,063-324-7878,전라북도 무주군 무주읍 단천로 37,전라북도 무주읍 마당밥상,0
한식_육류,착한한우,육회비빔밥,8000원,063-626-0332,전라북도 남원시 동림로 9,전라북도 동림로 착한한우,1
한식_일반,아구타운,대구뽈탕,9000원,063-633-5985,전라북도 남원시 농고길 15,전라북도 농고길 아구타운,3
이미용업,머리마실 가는 날,커트,9000원,063-563-4530,전라북도 고창군 고창읍 읍내리 863-58,전라북도 고창읍 머리마실 가는 날,0
한식_일반,또또분식,떡볶이,4500원,010-4184-7163,전라북도 전주시 덕진구 삼송3길14,전라북도 덕진구 또또분식,4.2
양식,덕순네돈까스,돈까스,10000원,063-353-7700,전라북도 장수군 장계면 장무로 239,전라북도 장계면 덕순네돈까스,3.7
숙박업,나이스모텔,대실,20000원,063-583-0117,전라북도 부안군 진서면 곰소윗길 77-18,전라북도 진서면 나이스모텔,0
숙박업,엠모텔,대실,20000원,063-583-7711,전라북도 부안군 진서면 곰소윗길 77-22,전라북도 진서면 엠모텔,4.8
한식_일반,곰소 꽃게장,돌게장정식,12000원,063-584-0212,전라북도 부안군 진서면 청자로 1217,전라북도 진서면 곰소 꽃게장,4.1
한식_육류,별난삼겹,생삼겹살(150g),9000원,063-832-9992,전라북도 익산시 하나로9길 14,전라북도 하나로9길 별난삼겹,0
한식_일반,이가매생이수제비칼국수,칼국수,7000원,063-451-0208,전라북도 군산시 조촌안3길 19(조촌동),전라북도 조촌안3길 이가매생이수제비칼국수,5
한식_일반,고향촌,생삼겹살(180g),10000원,063-538-9282,전라북도 정읍시 수성로 35,전라북도 수성로 고향촌,5
한식_일반,김가네삼계탕추어탕,김치찌개,8000원,063-538-7003,전라북도 정읍시 수성2로 27-6,전라북도 수성2로 김가네삼계탕추어탕,별점 없음
한식_육류,갈비전문점 엘에이 평화직영점,돼지갈비(350g),18000원,063-227-9978,전라북도 전주시 완산구 모악로 4701,전라북도 완산구 갈비전문점 엘에이 평화직영점,0
한식_일반,신진미감자탕,뚝배기(뼈다귀),8000원,063-224-9229,전라북도 전주시 완산구 거마평로 145,전라북도 완산구 신진미감자탕,별점 없음
한식_일반,또와분식,찹쌀도너츠(3개),2000원,063-273-2923,전라북도 전주시 완산구 태평5길 41-5,전라북도 완산구 또와분식,3
한식_육류,삼한지,생갈비,16000원,063-584-0670,전라북도 부안군 줄포면 줄포중앙로 83,전라북도 줄포면 삼한지,0
한식_일반,소문난순대,순대국밥,7000원,063-322-3186,전라북도 무주군 무주읍 장터로 2,전라북도 무주읍 소문난순대,3.6
한식_일반,미가한식,된장찌개,10000원,063-322-9995,"전라북도 무주군 설천면 구천동1로 95, A-5",전라북도 설천면 미가한식,5
양식,고솜(Go Some),김치필라프,9000원,063-322-0707,"전라북도 무주군 무주읍 당산강변로 130, 2층",전라북도 무주읍 고솜(Go Some),별점 없음
한식_일반,반디어촌,어죽,7000원,063-324-1141,전라북도 무주군 무주읍 장터로 2,전라북도 무주읍 반디어촌,3
한식_일반,매일왕순대,순대국밥,8000원,063-322-2171,"전라북도 무주군 무주읍 장터로 2, 꽃반디동 4동",전라북도 무주읍 매일왕순대,2.8
한식_일반,거북식당,백반,7000원,063-324-0653,전라북도 무주군 무주읍 장터로2,전라북도 무주읍 거북식당,0
한식_일반,텃밭,돼지불고기쌈밥,9000원,063-653-0193,전라북도 순창군 순창읍 장류로 401-3,전라북도 순창읍 텃밭,0
한식_육류,황제갈비,갈비,17000원,063-581-3310,전라북도 부안군 변산면 격포로 183,전라북도 변산면 황제갈비,3.8
한식_한정식,이모네 식당,제육볶음(2인),22000원,063-581-5677,전라북도 부안군 부안읍 번영로 62,전라북도 부안읍 이모네 식당,0
한식_육류,광수한우정육식당,선지해장국,8000원,063-583-1516,전라북도 부안군 부안읍 진성길 10,전라북도 부안읍 광수한우정육식당,0
한식_일반,그곳에 가면,한정식 한상차림(4인),120000원,063-582-2630,전라북도 부안군 위도면 위도로 703,전라북도 위도면 그곳에 가면,5
한식_일반,일신옥,아욱국,6000원,063-461-1004,전라북도 군산시 구영7길 20,전라북도 구영7길 일신옥,4.2
한식_면류,동그라미가든,뽕비빔밥,12000원,063-584-7771,전라북도 부안군 변산면 변산로 1938,전라북도 변산면 동그라미가든,2.3
일식,부안초밥,유부초밥,10000원,063-581-1070,전라북도 부안군 부안읍 부풍로 57,전라북도 부안읍 부안초밥,4.4
한식_육류,갈비전문점 엘에이 반월직영점,돼지갈비(350g),17000원,063-213-8822,전라북도 전주시 덕진구 쪽구름로 138,전라북도 덕진구 갈비전문점 엘에이 반월직영점,3
한식_일반,한일옥,한우육회비빔밥,9000원,063-222-3118,전라북도 전주시 완산구 중산중앙로 29,전라북도 완산구 한일옥,2
한식_육류,도나돈아,오겹살,26000원,063-255-9299,전라북도 전주시 완산구 서신천변10길 12-8,전라북도 완산구 도나돈아,5
이미용업,초희미용실,커트(성인),8000원,063-226-3701,"전라북도 전주시 완산구 모악로 4683, 우미아파트 상가",전라북도 완산구 초희미용실,0
한식_육류,오늘의행복 교대점,삼겹살(600g),39000원,063-288-5292,전라북도 전주시 완산구 장승배기로 405,전라북도 완산구 오늘의행복 교대점,4
한식_육류,아중고기마트 중화산점,한우육회비빔밥,7000원,063-244-9474,전라북도 전주시 완산구 한두평4길 6,전라북도 완산구 아중고기마트 중화산점,3.7
한식_육류,돼지한마리,돼지한마리(750g),44000원,063-231-0881,전라북도 전주시 완산구 현무1길 38-18,전라북도 완산구 돼지한마리,4.8
이미용업,각시미용실,파마,15000원,063-236-8135,전라북도 전주시 완산구 효동2길 21-14,전라북도 완산구 각시미용실,5
한식_일반,이포크정육식당,삼겹살,10000원,063-463-1238,"전라북도 군산시 미원로 61, 102호",전라북도 미원로 이포크정육식당,5
한식_육류,싸가지없는갈비,돼지갈비(250g),14000원,063-548-3392,전라북도 김제시 도작9길 50 1층(신풍동),전라북도 도작9길 싸가지없는갈비,0
기타서비스업,머리박사,남성커트,6000원,063-463-9680,"전라북도 군산시 문화로 36, 203호",전라북도 문화로 머리박사,0
한식_일반,꼬꼬꽥꽥,닭국밥,7000원,063-464-4944,전라북도 군산시 경암2길 24,전라북도 경암2길 꼬꼬꽥꽥,별점 없음
한식_일반,나주곰탕,곰탕,8000원,063-531-3933,전라북도 정읍시 중앙로 150,전라북도 중앙로 나주곰탕,0
한식_일반,뚝배기,시래기국,7000원,063-433-5384,"전라북도 진안군 진안읍 시장1길 16, 148호",전라북도 진안읍 뚝배기,4
한식_일반,밀과보리,보리비빔밥,7000원,063-433-3526,"전라북도 진안군 진안읍 시장1길 16, 134호",전라북도 진안읍 밀과보리,0
이미용업,한성자헤어뱅크,일반파마,30000원,063-545-3809,전라북도 김제시 동서9길 54(요촌동),전라북도 동서9길 한성자헤어뱅크,0
이미용업,귀빈미용실,일반파마,30000원,063-545-2481,"전라북도 김제시 도작2길 7, 상가 102호(신풍동)",전라북도 도작2길 귀빈미용실,별점 없음
한식_일반,오늘은갈비,김치찌개,7000원,063-544-7887,전라북도 김제시 요촌길 130(요촌동),전라북도 요촌길 오늘은갈비,4
한식_일반,맛있는밥집&맛있는커피,한식뷔페,8000원,063-543-0543,전라북도 김제시 콩쥐팥쥐로 272(순동),전라북도 콩쥐팥쥐로 맛있는밥집&맛있는커피,3.5
중식,하우치,짜장면,4000원,063-546-8892,전라북도 김제시 도작9길 34,전라북도 도작9길 하우치,4.5
한식_육류,두손왕족발,왕족발(대),29000원,063-544-8295,전라북도 김제시 성산길 154,전라북도 성산길 두손왕족발,0
한식_일반,유정낙지마을,산낙지볶음(중),40000원,063-564-3624,전라북도 고창군 고창읍 월곡리 725,전라북도 고창읍 유정낙지마을,5
한식_면류,이가네국수학교,칼국수,6000원,063-544-3777,전라북도 김제시 요촌서길 30(요촌동),전라북도 요촌서길 이가네국수학교,4.7
한식_일반,꽃사슴로스,김치찌개,7000원,063-542-6677,전라북도 김제시 중앙로 178(요촌동),전라북도 중앙로 꽃사슴로스,0
이미용업,이재순미용실,일반컷트,13000원,063-544-7480,전라북도 김제시 금성8길 42 대방아파트 상가,전라북도 금성8길 이재순미용실,0
한식_일반,슬치백산식당,동충하초 버섯전골(中),45000원,063-644-2239,전라북도 임실군 관촌면 춘향로 3732,전라북도 관촌면 슬치백산식당,1.3
한식_일반,오늘의 행복,삼겹살(200g),13000원,063-937-9807,전라북도 임실군 임실읍 중동로 38,전라북도 임실읍 오늘의 행복,5
한식_육류,막창 구이구이,백반,6000원,063-644-8254,전라북도 임실군 임실읍 수정로 46-13,전라북도 임실읍 막창 구이구이,0
양식,치즈앤돈까스,등심돈까스 2조각,6000원,063-644-8249,전라북도 임실군 임실읍 운수로 26 임실시장 내,전라북도 임실읍 치즈앤돈까스,4.5
한식_면류,할매국수,잔치국수,5000원,010-4200-3174,전라북도 임실군 강진면 호국로 14-12 강진시장 내,전라북도 강진면 할매국수,4.7
한식_일반,상운암 전주식당,매운탕(中),55000원,063-643-0101,전라북도 임실군 운암면 임운로 1875-4,전라북도 운암면 상운암 전주식당,4.6
한식_일반,나루터,백반,7000원,063-643-0344,전라북도 임실군 운암면 임운로 1916,전라북도 운암면 나루터,0
이미용업,쎄리아미용실,커트,8000원,063-564-6885,전라북도 고창군 고창읍 동리로 58,전라북도 고창읍 쎄리아미용실,0
