업종,업소명,주요품목,가격,연락처,주소,keyword,평점
한식_일반,들꽃분식,김밥,3000원,061-383-3345,전라남도 담양군 수북면 한수동로 532,전라남도 수북면 들꽃분식,5
한식_일반,천사바다블라썸,백합칼국수,10000원,061-271-4242,전라남도 신안군 암태면 진작지길 227-2,전라남도 암태면 천사바다블라썸,4
한식_일반,안동식육식당,육회비빔밥,10000원,061-261-4209,전라남도 신안군 안좌면 김환기길 11-12,전라남도 안좌면 안동식육식당,0
한식_육류,바글바글,후라이드치킨,19000원,0507-1473-7302,전라남도 신안군 임자면 임자로 114-1,전라남도 임자면 바글바글,0
한식_기타,수문풍천장어,우거지장어탕,10000원,061-275-1492,전라남도 신안군 압해읍 원산장길 10-2,전라남도 압해읍 수문풍천장어,0
한식_기타,갯벌횟집,갈치찜(1인),15000원,061-271-9810,전라남도 신안군 압해읍 대촌길 37-88,전라남도 압해읍 갯벌횟집,3.7
한식_일반,소담소담 다복정,오리능이한방탕(1마리)+찰밥,75000원,061-246-0030,전라남도 신안군 지도읍 해제지도로 792,전라남도 지도읍 소담소담 다복정,0
세탁업,향기세탁소,와이셔츠 세탁,4000원,061-351-1477,전라남도 영광군 영광읍 대하길1길 9,전라남도 영광읍 향기세탁소,0
일식,고래초밥,모듬초밥,12000원,061-352-8880,전라남도 영광군 영광읍 중앙로3길 5-22,전라남도 영광읍 고래초밥,4
한식_일반,길식당,애호박찌개,8000원,061-353-8980,전라남도 영광군 영광읍 중앙로3길 5-22,전라남도 영광읍 길식당,0
한식_일반,황금돼지,애호박찌개,8000원,061-352-3392,전라남도 영광군 영광읍 중앙로3길 5-12,전라남도 영광읍 황금돼지,5
한식_일반,산다라전통떡갈비본점,한돈대통밥정식,25000원,061-381-5225,전라남도 담양군 담양읍 천변7길 5-12,전라남도 담양읍 산다라전통떡갈비본점,1
일식,미 참치·초밥,초밥,10000원,061-335-2001,"전라남도 나주시 도민길 3-52, 1층",전라남도 도민길 미 참치·초밥,5
한식_일반,분식나라,원조김밥,2500원,061-383-0608,전라남도 담양군 담양읍 중앙로 26,전라남도 담양읍 분식나라,0
,대가,고등어구이,14000원,061-383-7050,전라남도 담양군 고서면 가사문학로 619,전라남도 고서면 대가,3.5
한식_일반,한국별관,오리로스,60000원,061-381-3814,전라남도 담양군 고서면 창평현로 257,전라남도 고서면 한국별관,4.6
한식_일반,옛날제일식당,소떡갈비(220g),20000원,0507-1344-2404,전라남도 담양군 담양읍 마두길 6,전라남도 담양읍 옛날제일식당,2.8
기타서비스업,봄봄해,아메리카노,2000원,0507-1335-0626,"전라남도 담양군 고서면 원등1길 3, 1층",전라남도 고서면 봄봄해,5
한식_일반,하일칼국수,팥칼국수,8000원,0507-1398-8640,전라남도 담양군 수북면 고리대길 118-9,전라남도 수북면 하일칼국수,5
한식_육류,금돈가,삼겹살(200g),14000원,없음,전라남도 나주시 석전1길 19,전라남도 석전1길 금돈가,4.2
목욕업,나주온천,대인,6000원,061-334-0555,전라남도 나주시 성북1길 18-1,전라남도 성북1길 나주온천,3.3
숙박업,현대여관,대실,12000원,061-332-1855,전라남도 나주시 이창2길 2-3,전라남도 이창2길 현대여관,5
한식_일반,돈 식당,김치찌개,10000원,061-335-9990,"전라남도 나주시 문화로 226, 1층",전라남도 문화로 돈 식당,별점 없음
한식_면류,신목사골칼국수,샤브샤브칼국수,10000원,061-334-6761,전라남도 나주시 나주로 83-10,전라남도 나주로 신목사골칼국수,4.7
양식,체스돈까스,돈가스,6000원,061-353-4200,전라남도 영광군 영광읍 신남로 225,전라남도 영광읍 체스돈까스,2.3
이미용업,우산이발소,커트,10000원,061-763-9886,전라남도 광양시 신재로 107,전라남도 신재로 우산이발소,5
한식_일반,오늘김밥,오늘김밥,3000원,061-795-0105,전라남도 광양시 시청로 67,전라남도 시청로 오늘김밥,5
한식_육류,붐비어,삼겹살,11000원,061-763-5530,"전라남도 광양시 광양읍 예구1길 8, 105동 3호",전라남도 광양읍 붐비어,2
한식_일반,사계절,고등어쌈밥,9000원,061-652-6360,전라남도 여수시 여서동5길 9(여서동),전라남도 여서동5길 사계절,2
한식_육류,100톤 갈비,닭갈비 500g,6500원,010-3130-9100,"전라남도 여수시 문수1길 11, 1층 101(문수동)",전라남도 문수1길 100톤 갈비,5
이미용업,퀸즈헤나 헤어샵,파마,30000원,010-8441-2177,전라남도 여수시 신기남2길 24-1(신기동),전라남도 신기남2길 퀸즈헤나 헤어샵,0
한식_일반,광장서대회(교동점),서대회(1인),10000원,061-666-2782,전라남도 여수시 교동남1길 6-8(교동),전라남도 교동남1길 광장서대회(교동점),3
한식_일반,광장서대회,서대회(1인),10000원,061-666-2013,전라남도 여수시 이순신광장로 129(중앙동),전라남도 이순신광장로 광장서대회,4.2
한식_일반,두꺼비,장어구이(1인),15000원,061-683-0989,전라남도 여수시 학동2길 7-4(학동),전라남도 학동2길 두꺼비,0
이미용업,우아미미용실,커트,7000원,061-352-0127,전라남도 영광군 영광읍 신남로 276,전라남도 영광읍 우아미미용실,0
중식,불갑반점,짜장면,4000원,061-353-8606,전라남도 영광군 불갑면 함영로 2858,전라남도 불갑면 불갑반점,2.7
이미용업,서라헤어,여성커트,13000원,061-277-3587,전라남도 무안군 삼향읍 남악4로34번길 31 세영리첼 상가 201-1호,전라남도 삼향읍 서라헤어,0
한식_일반,남매식당,순두부찌개,7000원,061-356-6789,전라남도 영광군 홍농읍 상하길 25-1,전라남도 홍농읍 남매식당,0
한식_일반,황금식당,뼈다귀해장국,10000원,061-395-8856,전라남도 장성군 삼서면 해삼로 1127,전라남도 삼서면 황금식당,4.4
한식_일반,행복식당,백반,7000원,061-394-2406,전라남도 장성군 진원면 노사로 493-3,전라남도 진원면 행복식당,4
한식_육류,불태산진원성한우전문점,한우전골,15000원,061-392-6492,전라남도 장성군 진원면 고산로 17,전라남도 진원면 불태산진원성한우전문점,3.8
한식_육류,옐로우 한우 식육식당,"육회비빕방(익,생)",8000원,061-392-1666,전라남도 장성군 진원면 덕천길 40,전라남도 진원면 옐로우 한우 식육식당,별점 없음
한식_일반,동원식당,초무침,10000원,061-452-0754,전라남도 무안군 망운면 압창길 6,전라남도 망운면 동원식당,5
숙박업,무안비치호텔,2인실,66000원,061-454-4900,전라남도 무안군 망운면 톱머리길 36,전라남도 망운면 무안비치호텔,2.2
숙박업,무안국제호텔,일반실,45000원,061-454-8500,전라남도 무안군 망운면 운해로 1425,전라남도 망운면 무안국제호텔,4
세탁업,드라이하우스 남악1호점,Y셔츠,1500원,061-261-1122,전라남도 무안군 삼향읍 후광대로 330,전라남도 삼향읍 드라이하우스 남악1호점,4
한식_일반,무안명가,낙지비빔밥,15000원,0507-1408-7782,전라남도 무안군 망운면 톱머리길 38,전라남도 망운면 무안명가,3.5
한식_일반,양간다리포차,동태탕,20000원,061-452-3579,"전라남도 무안군 해제면 봉대로 45, 2층",전라남도 해제면 양간다리포차,0
한식_일반,백광식당,백반,6000원,061-863-5413,전라남도 장흥군 장흥읍 토요시장1길 53,전라남도 장흥읍 백광식당,5
한식_일반,토담골 한우곰탕,곰탕,9000원,061-454-7733,전라남도 무안군 무안읍 성내1길 32-5,전라남도 무안읍 토담골 한우곰탕,4.4
한식_일반,인심이네,추어탕+솥밥,9000원,061-453-1936,전라남도 무안군 무안읍 성안길 8-21,전라남도 무안읍 인심이네,0
한식_일반,이모네칼국수,팥죽,8000원,061-453-3029,전라남도 무안군 청계면 승달산길 41,전라남도 청계면 이모네칼국수,3
이미용업,예쁘게,파마,40000원,061-543-8253,전라남도 진도군 진도읍 임회면 석교길 2,전라남도 진도읍 예쁘게,별점 없음
한식_일반,백반나라,백반,8000원,061-544-6550,전라남도 진도군 진도읍 남동1길 6-1,전라남도 진도읍 백반나라,0
한식_일반,옥향식당,설렁탕,8000원,061-544-2061,전라남도 진도군 진도읍 교동5길 2,전라남도 진도읍 옥향식당,4.3
한식_일반,대성국밥식당,돼지국밥,7000원,061-542-3990,전라남도 진도군 진도읍 교동3길 43,전라남도 진도읍 대성국밥식당,4.4
한식_육류,아리랑화로 숯불갈비,양념갈비,13000원,061-544-6000,전라남도 진도군 진도읍 교동5길 13,전라남도 진도읍 아리랑화로 숯불갈비,5
한식_면류,협동팥죽,팥칼국수,8000원,010-6381-2124,전라남도 진도군 진도읍 쌍정2길 26,전라남도 진도읍 협동팥죽,5
양식,쿡수,돈까스,8000원,061-544-5508,전라남도 진도군 진도읍 남동1길 40-8,전라남도 진도읍 쿡수,0
기타서비스업,쎄시봉,대추차,3000원,061-862-8698,전라남도 장흥군 장흥읍 읍성로 150-1,전라남도 장흥읍 쎄시봉,0
한식_일반,날다,낙지비빔밥,10000원,061-323-1117,전라남도 함평군 함평읍 함장로 1117,전라남도 함평읍 날다,0
한식_일반,짱구식당,돈가스,7000원,061-863-9008,전라남도 장흥군 장흥읍 중앙로 34-2,전라남도 장흥읍 짱구식당,0
중식,경남식당(글사랑반점),짜장,5000원,061-272-8111,전라남도 목포시 산대로2번길 3-2(산정동),전라남도 산대로2번길 경남식당(글사랑반점),별점 없음
한식_기타,일로순대,순대,8000원,061-243-9424,전라남도 목포시 삼일로13번길 4,전라남도 삼일로13번길 일로순대,4.5
한식_일반,톳빔,톳비빔밥,10000원,0507-1465-7619,전라남도 목포시 옥암로96번길 3,전라남도 옥암로96번길 톳빔,5
한식_기타,돈내고 돈먹기,짱뚱어탕,10000원,061-242-3737,전라남도 목포시 영산로 18-4(대의동 3가),전라남도 영산로 돈내고 돈먹기,4.5
한식_기타,남도먹거리방,순대,8000원,061-242-9875,전라남도 목포시 삼일로13번길 2-1,전라남도 삼일로13번길 남도먹거리방,별점 없음
한식_분식,옛날짜장,옛날짜장,5000원,061-270-1872,전라남도 목포시 산정로 120-1,전라남도 산정로 옛날짜장,4.5
한식_일반,유달산추어탕,추어탕,8000원,061-270-7030,전라남도 목포시 노적봉길  22-1 (죽동),전라남도 노적봉길 유달산추어탕,0
한식_일반,예향밥상,한식뷔페,6000원,061-247-8989,"전라남도 목포시 수문로20번길 7-3, 1층",전라남도 수문로20번길 예향밥상,4.8
기타양식,에스토커피,아메리카노,2800원,061-683-8510,전라남도 여수시 망마로 30,전라남도 망마로 에스토커피,4
한식_일반,순천식당,산채비빔밥,10000원,061-755-2378,전라남도 순천시 송광면 송광사안길 127,전라남도 송광면 순천식당,3.5
중식,신풍중화요리,짜장면,5000원,061-782-5549,전라남도 구례군 구례읍 구례2길 85,전라남도 구례읍 신풍중화요리,5
기타서비스업,담담카페,에스프레소,3000원,010-9402-2769,전라남도 함평군 대동면 향교길 12-5,전라남도 대동면 담담카페,5
한식_일반,갯뻘수산,낙지비빔밥,15000원,061-324-1177,전라남도 함평군 함평읍 중앙길 79-1,전라남도 함평읍 갯뻘수산,4
한식_일반,영애네집밥,백반,8000원,010-9294-9420,"전라남도 여수시 여수산단로 48, 1층(봉계동)",전라남도 여수산단로 영애네집밥,5
한식_일반,뽀빠이국밥,국밥,7000원,061-652-6300,전라남도 여수시 만성로 134-4(미평동),전라남도 만성로 뽀빠이국밥,4.5
한식_일반,텃골수육국밥,국밥,7000원,061-654-0310,전라남도 여수시 여서동2길 9-1(여서동),전라남도 여서동2길 텃골수육국밥,4.5
양식,올리브레스토랑,돈가스,11000원,061-652-1697,전라남도 여수시 여서1로 41-1(여서동),전라남도 여서1로 올리브레스토랑,3.3
한식_일반,여명,추어탕,9000원,061-654-0196,전라남도 여수시 대치3길 9-8(여서동),전라남도 대치3길 여명,4.8
목욕업,동광탕,목욕비,7000원,061-662-4272,"전라남도 여수시 동문로 101, 2층(공화동)",전라남도 동문로 동광탕,0
한식_일반,한주식당,우거지,7000원,061-662-5524,전라남도 여수시 교동남1길 6-30,전라남도 교동남1길 한주식당,4.7
양식,구례역대합실,다슬기파스타,9000원,0507-1316-0048,전라남도 구례군 구례읍 섬진강로 23,전라남도 구례읍 구례역대합실,3.7
한식_일반,시루마루,콩나물국밥,8000원,061-782-9838,전라남도 구례군 구례읍 봉동골목길 32-15,전라남도 구례읍 시루마루,1
한식_일반,남촌식당,삼겹살,10000원,061-682-1619,전라남도 여수시 신기남길 33,전라남도 신기남길 남촌식당,0
이미용업,주노헤어뱅크,커트,13000원,683-0728,전라남도 여수시 흥국로 85,전라남도 흥국로 주노헤어뱅크,5
한식_일반,오늘밥상,한식뷔페,7000원,692-0630,전라남도 여수시 거북선공원 1길 26,전라남도 거북선공원 오늘밥상,0
한식_면류,국수가 맛있는 집,잔치국수,5000원,010-4931-6640,전라남도 여수시 거북선공원2길 11,전라남도 거북선공원2길 국수가 맛있는 집,2.8
한식_일반,100년 도가식당,서대회무침(1인),10000원,665-8080,전라남도 여수시 화정면 여산4길 5-2,전라남도 화정면 100년 도가식당,2.8
이미용업,수현미용실,커트,12000원,010-6629-7946,전라남도 여수시 양지1길 10,전라남도 양지1길 수현미용실,5
이미용업,머리풍경,커트,10000원,691-4478,전라남도 여수시 죽림중앙로 30-28,전라남도 죽림중앙로 머리풍경,4
이미용업,집앞살롱,커트,12000원,010-7165-3421,"전라남도 여수시 죽림로 36, 휴먼시아2차 상가2층",전라남도 죽림로 집앞살롱,0
한식_일반,참죽사랑,팥죽,7000원,061-641-7182,전라남도 여수시 광무1길 10,전라남도 광무1길 참죽사랑,5
한식_일반,여천명신낙지,산낙지볶음,13000원,685-9928,전라남도 여수시 거북선공원 1길 13,전라남도 거북선공원 여천명신낙지,5
한식_일반,구이구이식당,백반,6000원,061-666-6567,전라남도 여수시 공화남 2길 19,전라남도 공화남 구이구이식당,별점 없음
한식_일반,현아마차,광어회,40000원,061-691-0095,전라남도 여수시 화산로 2,전라남도 화산로 현아마차,5
한식_면류,부광당,김치찌개,6000원,061-746-0066,"전라남도 순천시 중앙로 지하 104 66,67호",전라남도 중앙로 부광당,0
일식,하나횟집,회덮밥,8000원,061-654-3302,전라남도 여수시 대치3길 5-6,전라남도 대치3길 하나횟집,0
한식_일반,조개까는세상,조개구이,35000원,684-6633,전라남도 여수시 시청동5길 21-2,전라남도 시청동5길 조개까는세상,3.5
중식,박가네 옛날짜장,자장면,5000원,685-8810,전라남도 여수시 학동2길 7-4(진남시장내),전라남도 학동2길 박가네 옛날짜장,4
한식_일반,대성국밥,선지국밥,6000원,641-2298,전라남도 여수시 좌수영로 42 (서교동),전라남도 좌수영로 대성국밥,0
한식_일반,신토불이추어탕,추어탕,8000원,061-352-2119,전라남도 영광군 영광읍 중앙로 5길 6-3,전라남도 영광읍 신토불이추어탕,0
한식_일반,월봉재,굴비정식,15000원,061-356-7660,전라남도 영광군 법성면 굴비로 87,전라남도 법성면 월봉재,3.8
한식_일반,고향식당,애호박찌개,8000원,061-353-4061,전라남도 영광군 묘량면 묘량로 303,전라남도 묘량면 고향식당,5
기타양식,나봄커피,아메리카노,2500원,061-906-0415,전라남도 순천시 중앙로 지하 104 24호,전라남도 중앙로 나봄커피,0
이미용업,이쁜남녀 헤어샵,컷트,12000원,061-723-0886,전라남도 순천시 왕지3길 4-105,전라남도 왕지3길 이쁜남녀 헤어샵,0
이미용업,헤어몽,컷트,10000원,061-752-1858,"전라남도 순천시 중앙로 지하 104, 25호",전라남도 중앙로 헤어몽,0
한식_면류,아랫장 국포국수,온 메밀,7000원,061-741-9494,전라남도 순천시 장평로 60(풍덕동),전라남도 장평로 아랫장 국포국수,4.9
숙박업,비치모텔,숙박,40000원,061-772-7727,전라남도 광양시 진월면 백운1로 389,전라남도 진월면 비치모텔,4
한식_육류,진안 흑돼지 연탄구이,오겹살,13000원,061-751-0556,전라남도 순천시 순천시 장평로 50,전라남도 순천시 진안 흑돼지 연탄구이,별점 없음
한식_일반,정가는집,삼겹살,12000원,061-751-2556,전라남도 순천시 서면 임촌동길 50,전라남도 서면 정가는집,5
한식_일반,창조식당,눈꽃삼겹살(150g),10000원,061-753-7879,전라남도 순천시 순천대 2길 38,전라남도 순천대 창조식당,4
한식_일반,찬우물식당,김치찌개,8000원,061-723-7449,전라남도 순천시 조례못등길 49,전라남도 조례못등길 찬우물식당,0
한식_일반,우미관,한우암소모듬한판(300g),59000원,061-722-6463,전라남도 순천시 신흥중1길 55,전라남도 신흥중1길 우미관,4.2
한식_육류,순천국밥,돼지국밥,8000원,010-9048-2003,"전라남도 순천시 북문길 40, A동 23호(동외동)",전라남도 북문길 순천국밥,5
한식_육류,북부제일식당2호점,돼지국밥,8000원,061-753-4655,전라남도 순천시 북문길 59(매곡동),전라남도 북문길 북부제일식당2호점,3.2
한식_육류,선혜국밥,돼지국밥,8000원,061-751-1330,"전라남도 순천시 북문길 69, 1층",전라남도 북문길 선혜국밥,1
기타서비스업,커피빌리지,아메리카노,2000원,010-3359-1123,전라남도 담양군 수북면 한수동로 579,전라남도 수북면 커피빌리지,5
