업종,업소명,주요품목,가격,연락처,주소,keyword,평점
한식_육류,신원식당,삼겹살,16000원,02-3394-5121,"서울특별시 동대문구 장한로 92, 101호  (장안동, 화성빌딩)",서울특별시 동대문구 신원식당,4.9
한식_일반,신미가 맛집,한식부페,7000원,0507-1366-1326,서울특별시 은평구 서울특별시 은평구 증산로15길 24-1,서울특별시 은평구 신미가 맛집,0.0
한식_일반,북한산 손칼국수,손칼국수,5500원,0507-1407-4413,서울특별시 은평구 서울특별시 은평구 대서문길36,서울특별시 은평구 북한산 손칼국수,3.7
한식_일반,응암칼국수,삼겹순대국,8000원,02-918-6700,서울특별시 은평구 서울특별시 은평구 응암로21길 18-1,서울특별시 은평구 응암칼국수,3.9
한식_일반,따뜻한 밥상,김치찌개,3000원,02-000-0000,"서울특별시 은평구 서울특별시 은평구 연서로 260, 2층",서울특별시 은평구 따뜻한 밥상,4.8
세탁업,새서울세탁,양복세탁료,7000원,02-814-8194,"서울특별시 송파구 동남로 17길 11, 1층",서울특별시 송파구 새서울세탁,0.0
한식_일반,송천엄마손칼국수,칼국수,6000원,02-470-3370,"서울특별시 송파구 마천로 45길 8, 1층",서울특별시 송파구 송천엄마손칼국수,5.0
한식_일반,방이뚝배기,청국장,4000원,없음,"서울특별시 송파구 방이동 141-6, 1층",서울특별시 송파구 방이뚝배기,4.4
세탁업,새서울세탁,양복세탁료,7000원,02-814-8194,"서울특별시  동남로 17길 11, 1층",서울특별시  새서울세탁,0.0
한식_분식,먹거리휴게소,옛날토스트,2000원,02-869-1318,서울특별시 금천구 벚꽃로 309 (1호선 상행선 10-4 앞),서울특별시 금천구 먹거리휴게소,별점 없음
기타양식,왕산골만두(그시절 그맛),꽈배기,500원,010-8205-2763,"서울특별시 동대문구 고산자로38길 25  (제기동, 경동시장 다-11)",서울특별시 동대문구 왕산골만두(그시절 그맛),별점 없음
중식,서희,자장면(현금),4500원,02-2212-8877,"서울특별시 동대문구 사가정로23길 64, 105-101 (장안동, 성우스타팰리스)",서울특별시 동대문구 서희,4.5
중식,신라방마라탕,마라탕,7000원,02-2212-9991,서울특별시 동대문구 천호대로79길 66 (장안동),서울특별시 동대문구 신라방마라탕,4.6
한식_일반,만나식당,만두전골(2인),20000원,02-2244-4314,"서울특별시 동대문구 장한로25길 8  (장안동, 1층)",서울특별시 동대문구 만나식당,4.0
한식_일반,오뚝식당,된장찌개,8000원,02-966-6680,서울특별시 동대문구 회기로21길 8-18 (회기동),서울특별시 동대문구 오뚝식당,0.0
기타양식,이야기카페,아메리카노,2500원,02-6465-7786,서울특별시 동대문구 전농로3길 106 (답십리동),서울특별시 동대문구 이야기카페,5.0
한식_일반,충북식당,청국장보리밥,8000원,02-964-3031,서울특별시 동대문구 고산자로38길 27 (제기동),서울특별시 동대문구 충북식당,3.8
한식_일반,신설보쌈앤칼국수,보쌈정식,9000원,02-925-3030,"서울특별시 동대문구 하정로3길 10 (신설동, 1층)",서울특별시 동대문구 신설보쌈앤칼국수,3.3
한식_일반,큰손갈비,김치찌개,7000원,02-2212-0747,서울특별시 동대문구 서울시립대로 49-3 (전농동),서울특별시 동대문구 큰손갈비,0.0
한식_일반,세진식당,백반,6000원,02-2215-0305,서울특별시 동대문구 서울시립대로 61-4 (전농동),서울특별시 동대문구 세진식당,0.0
한식_일반,비에르 에 프리트,소세지볶음,10000원,02-3291-5111,서울특별시 동대문구 제기로5길 40 (제기동),서울특별시 동대문구 비에르 에 프리트,5.0
기타서비스업,이문동사진관,증명사진,10000원,010-2056-5700,서울특별시 동대문구 이문로12길 4-3 (이문동),서울특별시 동대문구 이문동사진관,5.0
기타양식,원더월커피로스터스,텀블러(to go) 아메리카노,1500원,010-8754-6467,서울특별시 동대문구 답십리로 80 (답십리동),서울특별시 동대문구 원더월커피로스터스,5.0
한식_일반,행복한식탁,바비큐치킨카츠,10000원,02-2248-3335,"서울특별시 동대문구 장한로 150 (장안동, 1층)",서울특별시 동대문구 행복한식탁,4.3
일식,광명수산,광어(중),40000원,02-536-7801,서울특별시 동작구 동작대로29가길 5(사당동),서울특별시 동작구 광명수산,3.3
한식_일반,삼보닭꼬치,파닭꼬치,3000원,010-6493-3450,서울특별시 동대문구 한천로 186 (장안동),서울특별시 동대문구 삼보닭꼬치,5.0
이미용업,비스타(vista),커트,7000원,02-6414-7716,서울특별시 동작구 동작대로35길 71(사당동),서울특별시 동작구 비스타(vista),별점 없음
세탁업,화이트세탁소,수선(4000원부터),4000원,02-816-7515,"서울특별시 동작구 만양로19, 상가동 137,138호(노량진동)",서울특별시 동작구 화이트세탁소,0.0
이미용업,동원이용원,커트,10000원,02-536-3411,"서울특별시 동작구 동작대로27다길 41, 2층(사당동)",서울특별시 동작구 동원이용원,0.0
이미용업,머리염색 전문점,뿌리염색(18000원부터),18000원,-,서울특별시 동작구 사당로16가길 20(사당동),서울특별시 동작구 머리염색 전문점,4.5
이미용업,더 프리메라  미용실,여성커트,16000원,02-825-3655,서울특별시 동작구 흑석로 13마길 65-3(흑석동),서울특별시 동작구 더 프리메라  미용실,별점 없음
기타양식,콘(Corn),"라떼(테이크아웃 3,500원)",4000원,-,서울특별시 동작구 상도로47길 13(상도1동),서울특별시 동작구 콘(Corn),5.0
한식_일반,찬도락,오삼불고기,9000원,02-815-4255,서울특별시 동작구 보라매로 83(신대방동),서울특별시 동작구 찬도락,0.0
일식,진수산,"초밥(활어, 12pcs)",15000원,0507-1349-7268,서울특별시 동작구 동작구 사당로16가길 12(사당동),서울특별시 동작구 진수산,5.0
한식_일반,엄마손뷔페,손칼국수,5500원,-,서울특별시 동작구 장승배기로 149-1(노량진동),서울특별시 동작구 엄마손뷔페,0.0
