업종,업소명,주요품목,가격,연락처,주소,"주소_구,군",keyword,평점
한식_일반,경북식당,정식,7000원,052-267-7855,울산광역시 남구 돋질로 145번길 38-25,울산광역시 남구 돋질로 145번길 38-25,울산광역시 남구 경북식당,5.0
한식_일반,제주식당,된장찌개,7000원,052-232-2238,울산광역시 동구 명덕3길 14(서부동),울산광역시 동구 명덕3길 14(서부동),울산광역시 동구 제주식당,0.0
기타양식,하이밀베이커리,소보루빵,1700원,052-286-9900,"울산광역시 북구 아진로 94, 113, 114, 117호","울산광역시 북구 아진로 94, 113, 114, 117호",울산광역시 북구 하이밀베이커리,0.0
이미용업,세븐헤어샵,커트(성인),12000원,052-286-7665,울산광역시 북구 아진로 106-2,울산광역시 북구 아진로 106-2,울산광역시 북구 세븐헤어샵,5.0
한식_일반,금낭상회,칼국수,6000원,0507-1444-0622,"울산광역시 울주군 온산읍 신온7길 57, 나동 112호","울산광역시 울주군 온산읍 신온7길 57, 나동 112호",울산광역시 울주군 금낭상회,5.0
한식_육류,미소돈참숯불구이,갈비살(미국산 100g),7800원,052-201-3855,울산광역시 동구 슬도로 21(방어동),울산광역시 동구 슬도로 21(방어동),울산광역시 동구 미소돈참숯불구이,4.6
한식_일반,경주본가,한우국밥,8000원,052-235-0777,울산광역시 동구 등대1길 53(방어동),울산광역시 동구 등대1길 53(방어동),울산광역시 동구 경주본가,3.0
한식_일반,자매국수집,잔치국수,4000원,052-234-0912,울산광역시 동구 진성6길 88-12(전하동),울산광역시 동구 진성6길 88-12(전하동),울산광역시 동구 자매국수집,0.0
이미용업,아트헤어,커트,5000원,052-265-9829,울산광역시 남구 거마로 117번길 39,울산광역시 남구 거마로 117번길 39,울산광역시 남구 아트헤어,0.0
한식_일반,삼시세끼만포장,정식,8000원,052-223-7847,울산광역시 남구 대학로 145번길 25,울산광역시 남구 대학로 145번길 25,울산광역시 남구 삼시세끼만포장,2.0
한식_일반,모두랑국수먹는날,국수,5000원,052-260-2411,울산광역시 남구 수암로 54번길 17,울산광역시 남구 수암로 54번길 17,울산광역시 남구 모두랑국수먹는날,0.0
한식_일반,태화강낙지볶음,낙지볶음,8000원,052-277-1428,울산광역시 남구 북부순환도로 13번길 6-9,울산광역시 남구 북부순환도로 13번길 6-9,울산광역시 남구 태화강낙지볶음,5.0
한식_면류,엄마네뷔페,정식,7000원,-,울산광역시 중구 당산4길 22 (우정동),울산광역시 중구 당산4길 22 (우정동),울산광역시 중구 엄마네뷔페,0.0
한식_일반,삼산24시두루치기,정식,7000원,052-932-9797,울산광역시 남구 삼산중로 16,울산광역시 남구 삼산중로 16,울산광역시 남구 삼산24시두루치기,5.0
한식_일반,상황삼계탕,삼계탕,10000원,052-275-9997,울산광역시 남구 수암로 40번길 22-23,울산광역시 남구 수암로 40번길 22-23,울산광역시 남구 상황삼계탕,4.8
